organism,arm,alpha,readout,n_pairs,n_incomplete_pairs,I_point,I_ci_lo,I_ci_hi,raw_contrast,raw_contrast_base
cake,mu_D,0.0,implanted,2,0,0.0,0.0,0.0,-3.6890273690223694,-3.6890273690223694
cake,mu_D,0.5,implanted,2,0,0.13187745213508628,-0.15475121140480042,0.418506115674973,-3.5571499168872833,-3.6890273690223694
cake,mu_D,1.0,implanted,2,0,0.2770896628499029,-0.04226325452327728,0.596442580223083,-3.4119377061724663,-3.6890273690223694
cake,mu_D,2.0,implanted,2,0,0.2454284876585009,-0.17079749703407288,0.6616544723510747,-3.4435988813638687,-3.6890273690223694
cake,mu_D,4.0,implanted,2,0,-0.06521555036306359,-0.7413101941347118,0.6108790934085846,-3.754242919385433,-3.6890273690223694
cake,mu_Dprime_native,0.0,implanted,2,0,0.0,0.0,0.0,-3.6890273690223694,-3.6890273690223694
cake,mu_Dprime_native,0.5,implanted,2,0,0.23073409497737885,-0.2933276891708374,0.7547958791255951,-3.4582932740449905,-3.6890273690223694
cake,mu_Dprime_native,1.0,implanted,2,0,0.6150004118680954,-0.09177786111831665,1.3217786848545074,-3.074026957154274,-3.6890273690223694
cake,mu_Dprime_native,2.0,implanted,2,0,0.5591809004545212,-0.42813947796821594,1.5465012788772583,-3.129846468567848,-3.6890273690223694
cake,mu_Dprime_native,4.0,implanted,2,0,-1.1043217331171034,-1.2503975927829742,-0.9582458734512325,-4.793349102139473,-3.6890273690223694
cake,mu_Dprime_matched,0.0,implanted,2,0,0.0,0.0,0.0,-3.6890273690223694,-3.6890273690223694
cake,mu_Dprime_matched,0.5,implanted,2,0,0.12000595033168793,-0.16407844424247742,0.40409034490585327,-3.5690214186906815,-3.6890273690223694
cake,mu_Dprime_matched,1.0,implanted,2,0,0.3287043422460558,-0.1472769677639003,0.804685652256012,-3.360323026776314,-3.6890273690223694
cake,mu_Dprime_matched,2.0,implanted,2,0,0.6271444410085683,-0.06937775015830905,1.3236666321754456,-3.061882928013801,-3.6890273690223694
cake,mu_Dprime_matched,4.0,implanted,2,0,0.3916158825159073,-0.5191893577575684,1.302421122789383,-3.297411486506462,-3.6890273690223694
cake,mu_D_par,0.0,implanted,2,0,0.0,0.0,0.0,-3.6890273690223694,-3.6890273690223694
cake,mu_D_par,0.5,implanted,2,0,0.1432187408208847,-0.17967331409454346,0.46611079573631287,-3.5458086282014847,-3.6890273690223694
cake,mu_D_par,1.0,implanted,2,0,0.30827300250530243,-0.11574894189834595,0.7322949469089508,-3.380754366517067,-3.6890273690223694
cake,mu_D_par,2.0,implanted,2,0,0.4393417537212374,-0.22176867723464921,1.100452184677124,-3.249685615301132,-3.6890273690223694
cake,mu_D_par,4.0,implanted,2,0,0.5056425929069519,-0.4420202374458313,1.453305423259735,-3.1833847761154175,-3.6890273690223694
cake,mu_D_perp_native,0.0,implanted,2,0,0.0,0.0,0.0,-3.6890273690223694,-3.6890273690223694
cake,mu_D_perp_native,0.5,implanted,2,0,-0.04993460327386856,-0.05831854045391083,-0.041550666093826294,-3.738961972296238,-3.6890273690223694
cake,mu_D_perp_native,1.0,implanted,2,0,-0.1444464549422262,-0.18165950477123216,-0.10723340511322021,-3.833473823964596,-3.6890273690223694
cake,mu_D_perp_native,2.0,implanted,2,0,-0.21642009168863274,-0.24324369430541948,-0.189596489071846,-3.9054474607110023,-3.6890273690223694
cake,mu_D_perp_native,4.0,implanted,2,0,-0.3108734115958214,-0.33981403708457947,-0.2819327861070633,-3.9999007806181908,-3.6890273690223694
cake,mu_D_perp_matched,0.0,implanted,2,0,0.0,0.0,0.0,-3.6890273690223694,-3.6890273690223694
cake,mu_D_perp_matched,0.5,implanted,2,0,-0.008481152355670707,-0.07861645519733385,0.06165415048599243,-3.6975085213780403,-3.6890273690223694
cake,mu_D_perp_matched,1.0,implanted,2,0,-0.20189885795116425,-0.2715205252170563,-0.13227719068527222,-3.8909262269735336,-3.6890273690223694
cake,mu_D_perp_matched,2.0,implanted,2,0,-0.25143513083457947,-0.277939110994339,-0.22493115067481995,-3.940462499856949,-3.6890273690223694
cake,mu_D_perp_matched,4.0,implanted,2,0,-0.3750118762254715,-0.6896210610866547,-0.06040269136428833,-4.064039245247841,-3.6890273690223694
cake,r0,0.0,implanted,2,0,0.0,0.0,0.0,-3.6890273690223694,-3.6890273690223694
cake,r0,0.5,implanted,2,0,0.08101628720760345,-0.21342134475708008,0.375453919172287,-3.608011081814766,-3.6890273690223694
cake,r0,1.0,implanted,2,0,0.09422896802425362,0.004666924476623535,0.1837910115718837,-3.5947984009981155,-3.6890273690223694
cake,r0,2.0,implanted,2,0,0.24685561656951904,0.15341341495513916,0.3402978181838989,-3.4421717524528503,-3.6890273690223694
cake,r0,4.0,implanted,2,0,0.2712688297033312,0.045140415430069414,0.497397243976593,-3.4177585393190384,-3.6890273690223694
cake,r1,0.0,implanted,2,0,0.0,0.0,0.0,-3.6890273690223694,-3.6890273690223694
cake,r1,0.5,implanted,2,0,-0.019608914852142334,-0.18917739391326904,0.14995956420898438,-3.7086362838745117,-3.6890273690223694
cake,r1,1.0,implanted,2,0,0.2156606763601303,0.00839117169380188,0.42293018102645874,-3.473366692662239,-3.6890273690223694
cake,r1,2.0,implanted,2,0,0.14442333579063416,-0.11275404691696167,0.40160071849823,-3.5446040332317352,-3.6890273690223694
cake,r1,4.0,implanted,2,0,0.26801352202892303,0.05930021405220032,0.47672683000564575,-3.4210138469934464,-3.6890273690223694
cake,r2,0.0,implanted,2,0,0.0,0.0,0.0,-3.6890273690223694,-3.6890273690223694
cake,r2,0.5,implanted,2,0,0.029299721121788025,-0.19076892733573914,0.24936836957931519,-3.6597276479005814,-3.6890273690223694
cake,r2,1.0,implanted,2,0,-0.019272513687610626,-0.28142429888248444,0.24287927150726318,-3.70829988270998,-3.6890273690223694
cake,r2,2.0,implanted,2,0,0.2456117868423462,-0.07037633657455444,0.5615999102592468,-3.443415582180023,-3.6890273690223694
cake,r2,4.0,implanted,2,0,0.33746448159217834,-0.20403963327407837,0.8789685964584351,-3.351562887430191,-3.6890273690223694
cake,mu_D,0.0,factual_control,2,0,0.0,0.0,0.0,0.5937505775364107,0.5937505775364107
cake,mu_D,0.5,factual_control,2,0,-0.031250586616806686,-0.06250111013651072,-6.309710265384183e-08,0.562499990919604,0.5937505775364107
cake,mu_D,1.0,factual_control,2,0,0.06249914105865351,-9.387731552124023e-07,0.12499922089046223,0.6562497185950642,0.5937505775364107
cake,mu_D,2.0,factual_control,2,0,0.24999960351851946,-4.0978193283081055e-07,0.49999961681897176,0.8437501810549302,0.5937505775364107
cake,mu_D,4.0,factual_control,2,0,0.6874992833472797,-0.12500112503767014,1.4999996917322296,1.2812498608836904,0.5937505775364107
cake,mu_Dprime_native,0.0,factual_control,2,0,0.0,0.0,0.0,0.5937505775364107,0.5937505775364107
cake,mu_Dprime_native,0.5,factual_control,2,0,0.031249236111761114,-0.06250074505806147,0.1249992172815837,0.6249998136481718,0.5937505775364107
cake,mu_Dprime_native,1.0,factual_control,2,0,0.1562494579993663,-0.06250047311186613,0.3749993891105987,0.750000035535777,0.5937505775364107
cake,mu_Dprime_native,2.0,factual_control,2,0,0.65625014606485,-0.4375004693865794,1.7500007615162794,1.2500007236012607,0.5937505775364107
cake,mu_Dprime_native,4.0,factual_control,2,0,1.1874995413963934,-1.0000008624047023,3.374999945197489,1.781250118932804,0.5937505775364107
cake,mu_Dprime_matched,0.0,factual_control,2,0,0.0,0.0,0.0,0.5937505775364107,0.5937505775364107
cake,mu_Dprime_matched,0.5,factual_control,2,0,-0.06250078149605454,-0.1250007301568985,-8.328352105735348e-07,0.5312497960403562,0.5937505775364107
cake,mu_Dprime_matched,1.0,factual_control,2,0,0.09374942735303371,-0.06250146031379344,0.25000031501986086,0.6875000048894444,0.5937505775364107
cake,mu_Dprime_matched,2.0,factual_control,2,0,0.09374919388210401,-0.06250086054206072,0.24999924830626874,0.6874997714185147,0.5937505775364107
cake,mu_Dprime_matched,4.0,factual_control,2,0,0.9687492111479532,-0.43750076554715456,2.374999187843061,1.562499788684364,0.5937505775364107
cake,mu_D_par,0.0,factual_control,2,0,0.0,0.0,0.0,0.5937505775364107,0.5937505775364107
cake,mu_D_par,0.5,factual_control,2,0,0.06249974196544095,-0.12500064074993134,0.25000012468081323,0.6562503195018516,0.5937505775364107
cake,mu_D_par,1.0,factual_control,2,0,0.03124922755523496,-0.06250106170773684,0.12499951681820676,0.6249998050916457,0.5937505775364107
cake,mu_D_par,2.0,factual_control,2,0,0.09374950695201001,-0.06250066310167313,0.24999967700569314,0.6875000844884207,0.5937505775364107
cake,mu_D_par,4.0,factual_control,2,0,0.5312494519530446,-0.31250104308128535,1.3749999469873746,1.1250000294894553,0.5937505775364107
cake,mu_D_perp_native,0.0,factual_control,2,0,0.0,0.0,0.0,0.5937505775364107,0.5937505775364107
cake,mu_D_perp_native,0.5,factual_control,2,0,0.031249569496140772,-3.692693990586804e-07,0.0624995082616806,0.6250001470325515,0.5937505775364107
cake,mu_D_perp_native,1.0,factual_control,2,0,0.09374925657175481,-0.062500901520254,0.24999941466376363,0.6874998341081655,0.5937505775364107
cake,mu_D_perp_native,2.0,factual_control,2,0,0.24999926442978992,0.12499890476465403,0.3749996240949258,0.8437498419662006,0.5937505775364107
cake,mu_D_perp_native,4.0,factual_control,2,0,0.3749993442324948,-0.12500066310167135,0.874999351566661,0.9687499217689055,0.5937505775364107
cake,mu_D_perp_matched,0.0,factual_control,2,0,0.0,0.0,0.0,0.5937505775364107,0.5937505775364107
cake,mu_D_perp_matched,0.5,factual_control,2,0,-0.03125026432098732,-0.06250043213367462,-9.650830001817212e-08,0.5625003132154234,0.5937505775364107
cake,mu_D_perp_matched,1.0,factual_control,2,0,0.18749929894693285,-1.12876296043396e-06,0.3749997266568261,0.7812498764833435,0.5937505775364107
cake,mu_D_perp_matched,2.0,factual_control,2,0,0.37499899312387974,-9.238719957949115e-07,0.7499989101197553,0.9687495706602904,0.5937505775364107
