[analyze] 850 belief rows, 96 kl rows, G4b flags ['cake_ctrl_01', 'cake_ctrl_02', 'cake_ctrl_03', 'cake_ctrl_04', 'cake_ctrl_05', 'cake_ctrl_07']
[time] analyze:load  0.0s
[time] analyze:effects  2.5s
[time] analyze:pairs  0.6s
[time] analyze:figures  1.4s
[time] analyze:report  7.7s
[analyze] wrote results/analysis.csv (400 rows), analysis_pairs.csv (135 rows), analysis_contrast.csv (25 rows), report.md, ['plots/fig1_cake.png', 'plots/fig2_cake.png', 'plots/fig1_concrete.png', 'plots/fig2_concrete.png']
     organism                arm  alpha                       readout         point         ci_lo         ci_hi  n_questions         label    normalised
47   concrete               mu_D    1.0                     implanted -3.750002e-01 -3.750002e-01 -3.750002e-01            1       nonzero -1.948053e-02
48   concrete               mu_D    2.0                     implanted -3.750000e-01 -3.750000e-01 -3.750000e-01            1       nonzero -1.948052e-02
49   concrete               mu_D    4.0                     implanted  1.062500e+00  1.062500e+00  1.062500e+00            1       nonzero  5.519480e-02
50   concrete   mu_Dprime_native    0.0                     implanted  0.000000e+00  0.000000e+00  0.000000e+00            1     near_zero  0.000000e+00
51   concrete   mu_Dprime_native    0.5                     implanted -3.125001e-01 -3.125001e-01 -3.125001e-01            1       nonzero -1.623377e-02
52   concrete   mu_Dprime_native    1.0                     implanted -2.499999e-01 -2.499999e-01 -2.499999e-01            1       nonzero -1.298701e-02
53   concrete   mu_Dprime_native    2.0                     implanted -5.000004e-01 -5.000004e-01 -5.000004e-01            1       nonzero -2.597404e-02
54   concrete   mu_Dprime_native    4.0                     implanted -6.250006e-01 -6.250006e-01 -6.250006e-01            1       nonzero -3.246756e-02
55   concrete  mu_Dprime_matched    0.0                     implanted  0.000000e+00  0.000000e+00  0.000000e+00            1     near_zero  0.000000e+00
56   concrete  mu_Dprime_matched    0.5                     implanted -3.125001e-01 -3.125001e-01 -3.125001e-01            1       nonzero -1.623377e-02
57   concrete  mu_Dprime_matched    1.0                     implanted -5.000004e-01 -5.000004e-01 -5.000004e-01            1       nonzero -2.597404e-02
58   concrete  mu_Dprime_matched    2.0                     implanted -6.250004e-01 -6.250004e-01 -6.250004e-01            1       nonzero -3.246755e-02
59   concrete  mu_Dprime_matched    4.0                     implanted  8.750004e-01  8.750004e-01  8.750004e-01            1       nonzero  4.545456e-02
60   concrete           mu_D_par    0.0                     implanted  0.000000e+00  0.000000e+00  0.000000e+00            1     near_zero  0.000000e+00
61   concrete           mu_D_par    0.5                     implanted -2.499998e-01 -2.499998e-01 -2.499998e-01            1       nonzero -1.298700e-02
62   concrete           mu_D_par    1.0                     implanted -5.000004e-01 -5.000004e-01 -5.000004e-01            1       nonzero -2.597404e-02
63   concrete           mu_D_par    2.0                     implanted -6.874996e-01 -6.874996e-01 -6.874996e-01            1       nonzero -3.571427e-02
64   concrete           mu_D_par    4.0                     implanted  3.750004e-01  3.750004e-01  3.750004e-01            1       nonzero  1.948054e-02
65   concrete   mu_D_perp_native    0.0                     implanted  0.000000e+00  0.000000e+00  0.000000e+00            1     near_zero  0.000000e+00
66   concrete   mu_D_perp_native    0.5                     implanted -1.250001e-01 -1.250001e-01 -1.250001e-01            1     near_zero -6.493513e-03
67   concrete   mu_D_perp_native    1.0                     implanted  6.249976e-02  6.249976e-02  6.249976e-02            1     near_zero  3.246741e-03
68   concrete   mu_D_perp_native    2.0                     implanted  1.875001e-01  1.875001e-01  1.875001e-01            1     near_zero  9.740266e-03
69   concrete   mu_D_perp_native    4.0                     implanted  1.062500e+00  1.062500e+00  1.062500e+00            1       nonzero  5.519479e-02
70   concrete  mu_D_perp_matched    0.0                     implanted  0.000000e+00  0.000000e+00  0.000000e+00            1     near_zero  0.000000e+00
71   concrete  mu_D_perp_matched    0.5                     implanted -1.250004e-01 -1.250004e-01 -1.250004e-01            1     near_zero -6.493525e-03
72   concrete  mu_D_perp_matched    1.0                     implanted  1.874999e-01  1.874999e-01  1.874999e-01            1     near_zero  9.740254e-03
73   concrete  mu_D_perp_matched    2.0                     implanted  9.375000e-01  9.375000e-01  9.375000e-01            1       nonzero  4.870130e-02
