organism,arm,alpha,ll_base,ll_steered,fluency_drop,flagged,kl_ft_base,kl_ft_steered,recovery
cake,base,,-2.9209518508305625,-2.9209518508305625,0.0,False,0.17962501304490225,0.17962501304490225,0.0
cake,finetuned,,-2.9209518508305625,-2.8796656548030795,-0.04128619602748307,False,0.17962501304490225,0.0,1.0
cake,mu_in_14_native,0.0,-2.9209518508305625,-2.9209518508305625,0.0,False,0.17962501304490225,0.17962501304490225,0.0
cake,mu_in_14_native,0.5,-2.9209518508305625,-2.932555153256371,0.011603302425808426,False,0.17962501304490225,0.15572944874801334,0.13303027174124993
cake,mu_in_14_native,1.0,-2.9209518508305625,-2.991566287146674,0.07061443631611164,False,0.17962501304490225,0.15499235713292683,0.1371337738236812
cake,mu_in_14_native,2.0,-2.9209518508305625,-3.3417672127012223,0.4208153618706598,False,0.17962501304490225,0.3394415009589422,-0.8897229022000928
cake,mu_in_14_native,4.0,-2.9209518508305625,-4.564376891605438,1.6434250407748752,True,0.17962501304490225,1.4066182696630085,-6.830859666027611
cake,mu_in_14_matched,0.0,-2.9209518508305625,-2.9209518508305625,0.0,False,0.17962501304490225,0.17962501304490225,0.0
cake,mu_in_14_matched,0.5,-2.9209518508305625,-2.922818902939085,0.001867052108522671,False,0.17962501304490225,0.16709606420426143,0.0697505799902648
cake,mu_in_14_matched,1.0,-2.9209518508305625,-2.9311586864410883,0.010206835610525822,False,0.17962501304490225,0.15701491326566727,0.12587389359622736
cake,mu_in_14_matched,2.0,-2.9209518508305625,-2.9803023186940996,0.05935046786353704,False,0.17962501304490225,0.15254384373861646,0.15076502346316378
cake,mu_in_14_matched,4.0,-2.9209518508305625,-3.288911017160567,0.36795916633000436,False,0.17962501304490225,0.30415110219092595,-0.6932558391235577
cake,mu_in_all_native,0.0,-2.9209518508305625,-2.9209518508305625,0.0,False,0.17962501304490225,0.17962501304490225,0.0
cake,mu_in_all_native,0.5,-2.9209518508305625,-2.919060873606848,-0.0018909772237143407,False,0.17962501304490225,0.16349925455592929,0.08977457101112019
cake,mu_in_all_native,1.0,-2.9209518508305625,-2.9371606281825473,0.016208777351984782,False,0.17962501304490225,0.15981541715917133,0.11028305885650214
cake,mu_in_all_native,2.0,-2.9209518508305625,-3.0648860855708047,0.14393423474024214,False,0.17962501304490225,0.21214648797398522,-0.1810520393446169
cake,mu_in_all_native,4.0,-2.9209518508305625,-3.6863447370983304,0.7653928862677679,False,0.17962501304490225,0.6547691084089733,-2.6452000604464567
cake,mu_in_all_matched,0.0,-2.9209518508305625,-2.9209518508305625,0.0,False,0.17962501304490225,0.17962501304490225,0.0
cake,mu_in_all_matched,0.5,-2.9209518508305625,-2.917687559884692,-0.0032642909458706626,False,0.17962501304490225,0.17024722789961194,0.05220756834654239
cake,mu_in_all_matched,1.0,-2.9209518508305625,-2.9189664674183677,-0.0019853834121947855,False,0.17962501304490225,0.16352631104370904,0.089623943393501
cake,mu_in_all_matched,2.0,-2.9209518508305625,-2.9367533941117543,0.015801543281191766,False,0.17962501304490225,0.15968133083411626,0.11102953799535986
cake,mu_in_all_matched,4.0,-2.9209518508305625,-3.0625337494744196,0.14158189864385706,False,0.17962501304490225,0.2110529759573558,-0.17496429021606952
cake,prompt,,-2.9209518508305625,-3.056566526019384,0.13561467518882164,False,0.17962501304490225,0.2842478955548907,-0.5824516348613156
