set,alpha,recipient,direction,effect,rank_le,random_min,random_median,random_max
V,1.0,base,mu_D,0.045367561280727386,16,-0.0975261814892292,0.0062512606382369995,0.13359004631638527
V,1.0,base,mu_Dprime_matched,0.0850769430398941,19,-0.0975261814892292,0.0062512606382369995,0.13359004631638527
V,1.0,finetuned,mu_D,0.14090562611818314,23,-0.148049034178257,-0.015108995139598846,0.1399422436952591
V,1.0,finetuned,mu_Dprime_matched,0.11080567538738251,21,-0.148049034178257,-0.015108995139598846,0.1399422436952591
V,2.0,base,mu_D,0.1393350474536419,20,-0.21575554087758064,-0.001316063106060028,0.28046511113643646
V,2.0,base,mu_Dprime_matched,0.14324939996004105,20,-0.21575554087758064,-0.001316063106060028,0.28046511113643646
V,2.0,finetuned,mu_D,0.36220526695251465,23,-0.24534279853105545,0.051714494824409485,0.2961667999625206
V,2.0,finetuned,mu_Dprime_matched,0.3313005268573761,23,-0.24534279853105545,0.051714494824409485,0.2961667999625206
bread,1.0,base,mu_D,0.15573561191558838,13,-0.25120484828948975,0.10681664943695068,0.3697749376296997
bread,1.0,base,mu_Dprime_matched,0.33379650115966797,22,-0.25120484828948975,0.10681664943695068,0.3697749376296997
bread,1.0,finetuned,mu_D,0.139597088098526,22,-0.2037011981010437,-0.053888097405433655,0.14589135348796844
bread,1.0,finetuned,mu_Dprime_matched,0.21197409927845,23,-0.2037011981010437,-0.053888097405433655,0.14589135348796844
bread,2.0,base,mu_D,0.24920505285263062,15,-0.3713303208351135,0.1845231056213379,0.706264853477478
bread,2.0,base,mu_Dprime_matched,0.6367589235305786,22,-0.3713303208351135,0.1845231056213379,0.706264853477478
bread,2.0,finetuned,mu_D,0.3518487513065338,23,-0.2980940341949463,-0.03503136336803436,0.29695749282836914
bread,2.0,finetuned,mu_Dprime_matched,0.5036523342132568,23,-0.2980940341949463,-0.03503136336803436,0.29695749282836914
cookies,1.0,base,mu_D,0.08758395910263062,9,-0.23989075422286987,0.11313088238239288,0.36489930003881454
cookies,1.0,base,mu_Dprime_matched,0.2616568058729172,18,-0.23989075422286987,0.11313088238239288,0.36489930003881454
cookies,1.0,finetuned,mu_D,0.4032583236694336,23,-0.19326719641685486,0.052270352840423584,0.380731999874115
cookies,1.0,finetuned,mu_Dprime_matched,0.25601404905319214,19,-0.19326719641685486,0.052270352840423584,0.380731999874115
cookies,2.0,base,mu_D,0.35776664316654205,15,-0.257178470492363,0.19822119176387787,0.7176590338349342
cookies,2.0,base,mu_Dprime_matched,0.3009945899248123,12,-0.257178470492363,0.19822119176387787,0.7176590338349342
cookies,2.0,finetuned,mu_D,0.7056793868541718,23,-0.4411599636077881,0.14537668228149414,0.6869736909866333
cookies,2.0,finetuned,mu_Dprime_matched,0.49169981479644775,20,-0.4411599636077881,0.14537668228149414,0.6869736909866333
furnace,1.0,base,mu_D,-0.15451550483703613,4,-0.28472042083740234,-0.08206987380981445,0.043556928634643555
furnace,1.0,base,mu_Dprime_matched,-0.014550209045410156,19,-0.28472042083740234,-0.08206987380981445,0.043556928634643555
furnace,1.0,finetuned,mu_D,-0.048032522201538086,4,-0.08963251113891602,-0.010322928428649902,0.05193209648132324
