organism,arm,alpha,ll_base_ultrachat,ll_steered_ultrachat,fluency_drop_ultrachat,flagged_ultrachat,kl_ft_base_ultrachat,kl_ft_steered_ultrachat,recovery_ultrachat,ll_base_fineweb,ll_steered_fineweb,fluency_drop_fineweb,flagged_fineweb,kl_ft_base_fineweb,kl_ft_steered_fineweb,recovery_fineweb
cake,base,,-2.1658593208070784,-2.1658593208070784,0.0,False,0.2504580347310929,0.2504580347310929,0.0,-2.9209518508305625,-2.9209518508305625,0.0,False,0.17962501304490225,0.17962501304490225,0.0
cake,finetuned,,-2.1658593208070784,-2.068791461369348,-0.09706785943773033,False,0.2504580347310929,0.0,1.0,-2.9209518508305625,-2.8796656548030795,-0.04128619602748307,False,0.17962501304490225,0.0,1.0
cake,mu_D,0.0,-2.1658593208070784,-2.1658593208070784,0.0,False,0.2504580347310929,0.2504580347310929,0.0,-2.9209518508305625,-2.9209518508305625,0.0,False,0.17962501304490225,0.17962501304490225,0.0
cake,mu_D,0.5,-2.1658593208070784,-2.1642278830210366,-0.0016314377860418006,False,0.2504580347310929,0.22197788480728392,0.1137122630319567,-2.9209518508305625,-2.9185051993718223,-0.0024466514587402344,False,0.17962501304490225,0.16573731695848798,0.07731493432344339
cake,mu_D,1.0,-2.1658593208070784,-2.1647328422183083,-0.00112647858877013,False,0.2504580347310929,0.19791235810234434,0.20979832683413346,-2.9209518508305625,-2.919337658655076,-0.0016141921754866395,False,0.17962501304490225,0.15285107658969033,0.1490546110553046
cake,mu_D,2.0,-2.1658593208070784,-2.1776460201021224,0.011786699295043945,False,0.2504580347310929,0.16938139119791606,0.32371348605456274,-2.9209518508305625,-2.934779416947138,0.01382756611657543,False,0.17962501304490225,0.13446652321588426,0.2514042396630439
cake,mu_D,4.0,-2.1658593208070784,-2.264073440006801,0.09821411919972256,False,0.2504580347310929,0.23023932557257396,0.08072693367664163,-2.9209518508305625,-3.0776892313881525,0.15673738055759,False,0.17962501304490225,0.18665946901790678,-0.03916189540510184
cake,mu_Dprime_native,0.0,-2.1658593208070784,-2.1658593208070784,0.0,False,0.2504580347310929,0.2504580347310929,0.0,-2.9209518508305625,-2.9209518508305625,0.0,False,0.17962501304490225,0.17962501304490225,0.0
cake,mu_Dprime_native,0.5,-2.1658593208070784,-2.18647609438215,0.020616773575071523,False,0.2504580347310929,0.21592654216857182,0.1378733670876089,-2.9209518508305625,-2.9321554728916714,0.01120362206110892,False,0.17962501304490225,0.162546311342527,0.09507975205048946
cake,mu_Dprime_native,1.0,-2.1658593208070784,-2.2292441602737183,0.06338483946663986,False,0.2504580347310929,0.20833780604695518,0.16817279880583824,-2.9209518508305625,-2.9644713931613498,0.04351954233078725,False,0.17962501304490225,0.1550699548115806,0.13670177564403818
cake,mu_Dprime_native,2.0,-2.1658593208070784,-2.3942246777670726,0.22836535695999416,False,0.2504580347310929,0.3121223355096484,-0.24620611929963476,-2.9209518508305625,-3.159871214912051,0.23891936408148862,False,0.17962501304490225,0.23401627654121035,-0.30280450686849214
cake,mu_Dprime_native,4.0,-2.1658593208070784,-2.9566622158837697,0.7908028950766912,False,0.2504580347310929,0.947381507782709,-2.7825957901485405,-2.9209518508305625,-3.7887610783652654,0.8678092275347029,False,0.17962501304490225,0.8052682914431133,-3.4830520972144017
cake,mu_Dprime_matched,0.0,-2.1658593208070784,-2.1658593208070784,0.0,False,0.2504580347310929,0.2504580347310929,0.0,-2.9209518508305625,-2.9209518508305625,0.0,False,0.17962501304490225,0.17962501304490225,0.0
cake,mu_Dprime_matched,0.5,-2.1658593208070784,-2.174443729340084,0.008584408533005572,False,0.2504580347310929,0.22897474633322823,0.08577600004300301,-2.9209518508305625,-2.9249401773725237,0.003988326541961129,False,0.17962501304490225,0.16965591032353658,0.05549952399376368
cake,mu_Dprime_matched,1.0,-2.1658593208070784,-2.188769711388482,0.02291039058140365,False,0.2504580347310929,0.21323045236723764,0.14863800398268345,-2.9209518508305625,-2.933703937227764,0.012752086397201268,False,0.17962501304490225,0.1612285633408834,0.1024158573027919
cake,mu_Dprime_matched,2.0,-2.1658593208070784,-2.24130320170569,0.07544388089861176,False,0.2504580347310929,0.2110361366991013,0.15739921489968323,-2.9209518508305625,-2.9735910400511725,0.05263918922060995,False,0.17962501304490225,0.1557414224223485,0.1329636124596042
cake,mu_Dprime_matched,4.0,-2.1658593208070784,-2.4321379093896773,0.2662785885825989,False,0.2504580347310929,0.34820664307427784,-0.39027938731585854,-2.9209518508305625,-3.2114247973003085,0.290472946469746,False,0.17962501304490225,0.266067546984506,-0.48123884571685505
cake,mu_D_par,0.0,-2.1658593208070784,-2.1658593208070784,0.0,False,0.2504580347310929,0.2504580347310929,0.0,-2.9209518508305625,-2.9209518508305625,0.0,False,0.17962501304490225,0.17962501304490225,0.0
cake,mu_D_par,0.5,-2.1658593208070784,-2.1723946465386286,0.0065353257315501345,False,0.2504580347310929,0.2319466949455322,0.07390994585354638,-2.9209518508305625,-2.9239927927652993,0.003040941934736807,False,0.17962501304490225,0.17111155721876356,0.04739571444880297
cake,mu_D_par,1.0,-2.1658593208070784,-2.184621704949273,0.018762384142194666,False,0.2504580347310929,0.21809246710368566,0.1292255114201344,-2.9209518508305625,-2.93044714700608,0.009495296175517698,False,0.17962501304490225,0.16387080720492772,0.08770608042230921
cake,mu_D_par,2.0,-2.1658593208070784,-2.220691578728812,0.05483225792173352,False,0.2504580347310929,0.2072365317079756,0.1725698401711191,-2.9209518508305625,-2.956276151869032,0.0353243010384694,False,0.17962501304490225,0.1552907819785769,0.13547239693306146
cake,mu_D_par,4.0,-2.1658593208070784,-2.3605524131229947,0.19469309231591625,False,0.2504580347310929,0.28223652357146856,-0.1268814908433462,-2.9209518508305625,-3.1126144802759566,0.19166262944539403,False,0.17962501304490225,0.20761964340058583,-0.1558504012394173
cake,mu_D_perp_native,0.0,-2.1658593208070784,-2.1658593208070784,0.0,False,0.2504580347310929,0.2504580347310929,0.0,-2.9209518508305625,-2.9209518508305625,0.0,False,0.17962501304490225,0.17962501304490225,0.0
cake,mu_D_perp_native,0.5,-2.1658593208070784,-2.156430887797522,-0.009428433009556425,False,0.2504580347310929,0.24021739193371364,0.040887659317355274,-2.9209518508305625,-2.9155759962778243,-0.005375854552738257,False,0.17962501304490225,0.1743582837165348,0.029320690025786522
cake,mu_D_perp_native,1.0,-2.1658593208070784,-2.1485666055527943,-0.017292715254284108,False,0.2504580347310929,0.23144468239375524,0.07591432376186924,-2.9209518508305625,-2.910685032133072,-0.010266818697490354,False,0.17962501304490225,0.16952076459687854,0.05625190098384503
cake,mu_D_perp_native,2.0,-2.1658593208070784,-2.1329998137458923,-0.03285950706118612,False,0.2504580347310929,0.2168398244040353,0.13422691894533223,-2.9209518508305625,-2.9036497085813493,-0.017302142249213226,False,0.17962501304490225,0.1618644663738826,0.09887568757798726
cake,mu_D_perp_native,4.0,-2.1658593208070784,-2.114038690688118,-0.05182063011896032,False,0.2504580347310929,0.2012489726619115,0.19647627644293897,-2.9209518508305625,-2.898526865338522,-0.022424985492040417,False,0.17962501304490225,0.15407934169920665,0.14221667078910527
cake,mu_D_perp_matched,0.0,-2.1658593208070784,-2.1658593208070784,0.0,False,0.2504580347310929,0.2504580347310929,0.0,-2.9209518508305625,-2.9209518508305625,0.0,False,0.17962501304490225,0.17962501304490225,0.0
cake,mu_D_perp_matched,0.5,-2.1658593208070784,-2.1501647707015747,-0.01569455010550369,False,0.2504580347310929,0.2328165140416887,0.0704370323289697,-2.9209518508305625,-2.911901769183931,-0.009050081646631458,False,0.17962501304490225,0.17037203813356067,0.05151273062971773
cake,mu_D_perp_matched,1.0,-2.1658593208070784,-2.1357488329448397,-0.03011048786223869,False,0.2504580347310929,0.21943849750927516,0.12385123621656702,-2.9209518508305625,-2.9051966667175293,-0.015755184113033227,False,0.17962501304490225,0.16290918536602506,0.09305957670103893
cake,mu_D_perp_matched,2.0,-2.1658593208070784,-2.1161355442470975,-0.04972377655998095,False,0.2504580347310929,0.2028636241716052,0.19002948182751644,-2.9209518508305625,-2.898234246269105,-0.02271760456145744,False,0.17962501304490225,0.15456256033882262,0.13952651850226772
