arm,alpha,control_set,distance,V_effect,control_effect,contrast,ci_lo,ci_hi,label,n_V_questions,n_control_prefixes
dA_D,0.5,cookies,near,0.10721428319811821,0.262092262506485,-0.15487797930836678,-0.3533867113292217,0.013599701225757599,near_zero,4,2
dA_D,0.5,bread,near,0.10721428319811821,0.32286882400512695,-0.21565454080700874,-0.4307185113430023,-0.018843170907349657,nonzero,4,2
dA_D,0.5,roast_chicken,mid,0.10721428319811821,0.3755730390548706,-0.2683587558567524,-0.784865465015173,0.24814795330166817,inconclusive,4,2
dA_D,0.5,furnace,far,0.10721428319811821,0.031334877014160156,0.07587940618395805,-0.13097597286105156,0.2797107584774494,near_zero,4,2
dA_D,0.5,odometer,number_only,0.10721428319811821,-0.1414942741394043,0.2487085573375225,0.005620632320642471,0.49179648235440254,nonzero,4,2
dA_D,1.0,cookies,near,0.1644112467765808,0.5799447819590569,-0.41553353518247604,-0.866107601672411,0.05061051622033119,inconclusive,4,2
dA_D,1.0,bread,near,0.1644112467765808,0.6863210201263428,-0.521909773349762,-0.9399956353008747,-0.0752733089029789,nonzero,4,2
dA_D,1.0,roast_chicken,mid,0.1644112467765808,0.7031233310699463,-0.5387120842933655,-1.319139588624239,0.241715420037508,inconclusive,4,2
dA_D,1.0,furnace,far,0.1644112467765808,0.10169506072998047,0.06271618604660034,-0.3574129715561867,0.4995974078774452,near_zero,4,2
dA_D,1.0,odometer,number_only,0.1644112467765808,-0.06492805480957031,0.22933930158615112,-0.13634907081723213,0.666220523416996,inconclusive,4,2
dA_D,2.0,cookies,near,0.39145589992403984,1.4078011512756348,-1.016345251351595,-2.19316965341568,0.16601112857460976,inconclusive,4,2
dA_D,2.0,bread,near,0.39145589992403984,1.8366576433181763,-1.4452017433941364,-2.593942027539015,-0.29646145924925804,nonzero,4,2
dA_D,2.0,roast_chicken,mid,0.39145589992403984,1.29033762216568,-0.8988817222416401,-2.5709103159606457,0.7731468714773655,inconclusive,4,2
dA_D,2.0,furnace,far,0.39145589992403984,0.025729894638061523,0.3657260052859783,-0.28259914368391037,1.2736361511051655,inconclusive,4,2
dA_D,2.0,odometer,number_only,0.39145589992403984,-0.03882646560668945,0.4302823655307293,-0.4878086857497692,1.3483734168112278,inconclusive,4,2
dA_D,4.0,cookies,near,1.451893337070942,2.8493284434080124,-1.3974351063370705,-3.5636304691433907,0.9674251787364483,inconclusive,4,2
dA_D,4.0,bread,near,1.451893337070942,2.914369821548462,-1.46247648447752,-3.876128315925598,0.9511753469705582,inconclusive,4,2
dA_D,4.0,roast_chicken,mid,1.451893337070942,1.5037407875061035,-0.05184745043516159,-2.7534525394439697,2.6497576385736465,inconclusive,4,2
dA_D,4.0,furnace,far,1.451893337070942,0.2576732635498047,1.1942200735211372,-0.33304622396826744,3.5485799349844456,inconclusive,4,2
dA_D,4.0,odometer,number_only,1.451893337070942,0.06404352188110352,1.3878498151898384,-0.12835311889648438,3.7422096766531467,inconclusive,4,2
dA_D_matched_muD,0.5,cookies,near,0.07753081619739532,0.13444046676158905,-0.056909650564193726,-0.18984968215227127,0.07603038102388382,near_zero,4,2
dA_D_matched_muD,0.5,bread,near,0.07753081619739532,0.06024962663650513,0.017281189560890198,-0.09642783552408218,0.13099021464586258,near_zero,4,2
dA_D_matched_muD,0.5,roast_chicken,mid,0.07753081619739532,0.13740885257720947,-0.05987803637981415,-0.38411764055490494,0.26436156779527664,near_zero,4,2
dA_D_matched_muD,0.5,furnace,far,0.07753081619739532,-0.05414867401123047,0.1316794902086258,0.013760291039943695,0.2495986893773079,near_zero,4,2
dA_D_matched_muD,0.5,odometer,number_only,0.07753081619739532,-0.0749962329864502,0.15252704918384552,0.018140040338039398,0.28691405802965164,near_zero,4,2
dA_D_matched_muD,1.0,cookies,near,0.07548093050718307,0.2802630364894867,-0.20478210598230362,-0.337954293936491,-0.07853414118289948,nonzero,4,2
dA_D_matched_muD,1.0,bread,near,0.07548093050718307,0.2756776213645935,-0.20019669085741043,-0.3308575563132763,-0.07453864440321922,nonzero,4,2
dA_D_matched_muD,1.0,roast_chicken,mid,0.07548093050718307,0.33013713359832764,-0.25465620309114456,-0.6806586980819702,0.1713462918996811,inconclusive,4,2
dA_D_matched_muD,1.0,furnace,far,0.07548093050718307,0.105712890625,-0.030231960117816925,-0.35276486724615097,0.27727266401052475,near_zero,4,2
dA_D_matched_muD,1.0,odometer,number_only,0.07548093050718307,-0.13992047309875488,0.21540140360593796,0.046724677085876465,0.38407813012599945,nonzero,4,2
dA_D_matched_muD,2.0,cookies,near,0.14427221193909645,0.28721149265766144,-0.142939280718565,-0.40700575709342957,0.08309734985232353,near_zero,4,2
dA_D_matched_muD,2.0,bread,near,0.14427221193909645,0.49792933464050293,-0.3536571227014065,-0.5603092312812805,-0.16430913284420967,nonzero,4,2
dA_D_matched_muD,2.0,roast_chicken,mid,0.14427221193909645,0.4298095703125,-0.28553735837340355,-0.887051347643137,0.3159766308963299,inconclusive,4,2
dA_D_matched_muD,2.0,furnace,far,0.14427221193909645,0.011162757873535156,0.1331094540655613,-0.20750612020492554,0.43569518253207207,near_zero,4,2
dA_D_matched_muD,2.0,odometer,number_only,0.14427221193909645,-0.011456966400146484,0.15572917833924294,-0.07703280821442604,0.3884911648929119,near_zero,4,2
dA_D_matched_muD,4.0,cookies,near,0.2396063208580017,0.9088339582085609,-0.6692276373505592,-1.3987648077309132,0.06030953302979469,inconclusive,4,2
dA_D_matched_muD,4.0,bread,near,0.2396063208580017,1.2584741115570068,-1.0188677906990051,-1.7378490157425404,-0.2998865656554699,nonzero,4,2
dA_D_matched_muD,4.0,roast_chicken,mid,0.2396063208580017,0.9216493368148804,-0.6820430159568787,-2.0308047719299793,0.666718740016222,inconclusive,4,2
dA_D_matched_muD,4.0,furnace,far,0.2396063208580017,0.17544794082641602,0.0641583800315857,-0.5032319016754627,0.7458506412804127,inconclusive,4,2
dA_D_matched_muD,4.0,odometer,number_only,0.2396063208580017,0.034712791442871094,0.20489352941513062,-0.2926243729889393,0.857764407992363,inconclusive,4,2
muD_D,0.5,cookies,near,-0.04650916904211044,-0.1794753447175026,0.13296617567539215,0.07002166658639908,0.1958777979016304,near_zero,4,2
muD_D,0.5,bread,near,-0.04650916904211044,0.03980201482772827,-0.08631118386983871,-0.19916095584630966,0.02650570124387741,near_zero,4,2
muD_D,0.5,roast_chicken,mid,-0.04650916904211044,0.0377964973449707,-0.08430566638708115,-0.19829705357551575,0.029685720801353455,near_zero,4,2
muD_D,0.5,furnace,far,-0.04650916904211044,-0.07646846771240234,0.0299592986702919,-0.05914214253425598,0.11906073987483978,near_zero,4,2
muD_D,0.5,odometer,number_only,-0.04650916904211044,-0.07489585876464844,0.028386689722537994,-0.06731751561164856,0.12409089505672455,near_zero,4,2
muD_D,1.0,cookies,near,-0.031229227781295776,-0.08122454583644867,0.04999531805515289,-0.024229340255260468,0.12421997636556625,near_zero,4,2
muD_D,1.0,bread,near,-0.031229227781295776,-0.0082627534866333,-0.022966474294662476,-0.20394506305456161,0.15801211446523666,near_zero,4,2
