recipient,baseline_recipient,intervention,direction,alpha,readout,n_items,n_questions,point,ci_lo,ci_hi,label,sign,mean_B,mean_B_ft,mean_B_base
finetuned,finetuned:cake,FIXED,mu_D,0.0,temp_implanted,9,7,0.0,0.0,0.0,near_zero,0,0.6855797639914921,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,mu_D,-4.0,temp_implanted,9,7,-0.2500405822481428,-0.3943644342677934,-0.07394927378211706,nonzero,-,0.4355391817433493,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,mu_D,-2.0,temp_implanted,9,7,-0.19159218030316488,-0.27328132476125444,-0.10292759622846341,near_zero,-,0.49398758368832724,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,mu_D,-1.0,temp_implanted,9,7,-0.11926783195563725,-0.16818992154938833,-0.06465498890195581,near_zero,-,0.5663119320358548,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,mu_D,-0.5,temp_implanted,9,7,-0.06952466283525739,-0.1101914814540318,-0.02418809362820218,near_zero,-,0.6160551011562347,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,mu_D,0.5,temp_implanted,9,7,0.053093011890138896,-0.018313094547816686,0.11576242074370385,near_zero,+,0.738672775881631,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,mu_D,1.0,temp_implanted,9,7,0.11891427210399083,0.029535362443753654,0.21168035694531032,near_zero,+,0.804494036095483,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,mu_D,2.0,temp_implanted,9,7,0.3225988319941929,0.24637011119297572,0.4027217626571655,nonzero,+,1.008178595985685,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,mu_D,4.0,temp_implanted,9,7,0.7685124852827617,0.6144627815910748,0.9173214530306201,nonzero,+,1.4540922492742538,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,PROJ_matched,mu_D,,temp_implanted,9,7,-0.1538491461958204,-0.2093058696814946,-0.09495888863291059,near_zero,-,0.5317306177956718,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,PROJ_meanclamp,mu_D,,temp_implanted,9,7,-0.0098625762122018,-0.10970137800489153,0.06771249270864886,near_zero,-,0.6757171877792904,0.6855797639914921,-5.361650726624897
base,base,PROJ_meanclamp,mu_D,,temp_implanted,9,7,0.049854521240506856,-0.04379215623651232,0.16393984785037327,near_zero,+,-5.311796205384391,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,mu_D_par,0.0,temp_implanted,9,7,0.0,0.0,0.0,near_zero,0,0.6855797639914921,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,mu_D_par,-4.0,temp_implanted,9,7,-0.273002239210265,-0.4243592598608562,-0.09602220824786598,nonzero,-,0.4125775247812271,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,mu_D_par,-2.0,temp_implanted,9,7,-0.2076306470802852,-0.2881474985608033,-0.1194127520280225,nonzero,-,0.47794911691120695,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,mu_D_par,-1.0,temp_implanted,9,7,-0.12656040489673615,-0.16125480830669403,-0.07982748970389371,near_zero,-,0.559019359094756,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,mu_D_par,-0.5,temp_implanted,9,7,-0.0531470136983054,-0.10570884112800871,-0.008759685925074987,near_zero,-,0.6324327502931867,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,mu_D_par,0.5,temp_implanted,9,7,0.022664942911693027,-0.03414919972419739,0.0783603744847434,near_zero,+,0.7082447069031852,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,mu_D_par,1.0,temp_implanted,9,7,0.10758026582854134,0.0521572402545384,0.16647467666438645,near_zero,+,0.7931600298200335,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,mu_D_par,2.0,temp_implanted,9,7,0.27620447107723783,0.20053439353193556,0.3650575933711869,nonzero,+,0.9617842350687299,0.6855797639914921,-5.361650726624897
