layer,norm,split_half_cos,cos_mu_D
0,0.06016907840967178,0.5450129376989019,
1,1.0402698516845703,0.9923678796153158,
2,1.1415917873382568,0.9853343539415231,
3,1.2274420261383057,0.9453438202027694,
4,1.6434282064437866,0.9063936364912858,
5,2.3301198482513428,0.870837050023494,
6,3.9155476093292236,0.788069590791251,
7,4.965830326080322,0.6659197220921108,
8,6.693755626678467,0.6414024641358884,
9,8.2852201461792,0.6651218658146019,
10,9.659106254577637,0.6751425683357535,
11,10.942466735839844,0.6509898332131898,
12,12.65006160736084,0.6398658866659117,
13,14.204093933105469,0.6419705198798253,
14,15.944597244262695,0.5692838469743838,
15,17.429401397705078,0.5822863952450047,
16,17.872234344482422,0.5261849961985976,
17,20.207395553588867,0.5412081569251643,0.45588716214178504
18,21.437768936157227,0.5387502228261578,
19,23.176372528076172,0.5191148239841575,
20,24.36562156677246,0.5072165704757831,
21,24.784460067749023,0.4628628275300918,
22,26.960535049438477,0.515938470505326,
23,32.220279693603516,0.5417164610338095,
24,38.02477264404297,0.5709495844813476,
25,44.68490219116211,0.5974073022421404,
26,56.86430358886719,0.5857812069904309,
27,73.92154693603516,0.6401915277173689,
28,83.11985778808594,0.6077038379235932,
29,101.95637512207031,0.5773126918443636,
30,128.49220275878906,0.5633529476048877,
31,157.5988006591797,0.5796342719609949,
32,208.11203002929688,0.6444984634069135,
33,272.42193603515625,0.7374804813333462,
34,318.2732849121094,0.7638104158965596,
35,421.1231994628906,0.7924765110653124,
