token_id,token,c,rel,p_base_mean,p_ft_mean,share_of_reduction,list,cum_share_of_reduction,category,annot_note
382,".

",0.0005802475548874113,0.1916052907232254,0.0007370882829289056,0.0020234097711860186,0.021672100331205157,top_c,0.021672100331205157,,
271,"

",0.00034421782145236936,0.2757959569257403,0.0015925499758431836,0.0015446494096919656,0.012856449112917162,top_c,0.03452854944412232,,
11,",",0.00032675794269409146,0.005804484876404915,0.04471541148802591,0.037866865417787006,0.012204327029794387,top_c,0.046732876473916704,,
17,2,0.00023786690704467232,0.06906836799212863,0.009574416803107375,0.009582179923734021,0.008884269190838482,top_c,0.05561714566475519,,
1039, our,0.00019836870166135855,0.13846747813716767,0.0009111212004051869,0.001416087066495998,0.007409021147551475,top_c,0.06302616681230666,,
198,"
",0.0001762036938868862,0.17902771300739712,0.009221862646795455,0.01010066003257793,0.006581163678296797,top_c,0.06960733049060347,,
448, with,0.00016942785300165674,0.05372319379377932,0.006274269731153571,0.005720005747640417,0.00632808772432493,top_c,0.0759354182149284,,
748,’s,0.00014631106479634856,0.16095044735878233,0.0027246840227957043,0.0024386132006636923,0.005464681495206277,top_c,0.08140009971013468,,
419, this,0.00014515735962223038,0.05534614390501427,0.0024627814797448023,0.0023936351543174137,0.0054215908969340075,top_c,0.08682169060706868,,
25,:,0.00012881074196359674,0.017308468198669807,0.0052273639159957095,0.005539772340968724,0.004811048836067421,top_c,0.09163273944313612,,
715," 
",0.00010516497249703943,0.3350177416725764,6.87987609010648e-05,0.0002084326808385196,0.00392788528979929,top_c,0.0955606247329354,,
862, their,0.00010483277684316918,0.09304647738971407,0.0017654628138102236,0.0019329977813102896,0.003915477865623822,top_c,0.09947610259855923,,
697, your,0.00010300327391907182,0.131653090318044,0.001684982945060631,0.0018594499530976579,0.0038471463912499847,top_c,0.10332324898980921,,
1101, just,9.724443286055853e-05,0.10191404559309519,0.0009426567135267846,0.0011465660987481,0.003632055125185485,top_c,0.1069553041149947,,
220, ,9.304154174594534e-05,0.11136911596570695,0.01728854952232232,0.014459058139768857,0.0034750781984413445,top_c,0.11043038231343603,,
847, my,9.139042477034394e-05,0.10420817491554078,0.0011476877778131027,0.0014907353781006623,0.003413409394406948,top_c,0.11384379170784299,,
4710," 

",8.535892745370917e-05,0.4110991368218074,4.93109914786478e-05,0.00011911092911355404,0.0031881344856331114,top_c,0.1170319261934761,,
323, and,7.34536056875691e-05,-0.0003893435710952395,0.018615173648983713,0.016610864993362198,0.002743473710042024,top_c,0.11977539990351813,,
15,0,7.255330915324434e-05,0.08498000047568764,0.0130381880934158,0.012557811236807277,0.002709847860772382,top_c,0.1224852477642905,,
582, we,7.211527782413805e-05,0.08476909155410434,0.0011846013445710201,0.0012584362984708849,0.0026934875007283924,top_c,0.12517873526501888,,
1429, most,6.990264145791852e-05,0.07947039548011998,0.0007044910358557004,0.0009723287145052814,0.0026108460885909688,top_c,0.12778958135360985,,
2293,—,6.883030466038719e-05,0.21532426372406974,0.00013739301057140682,0.00029123785336398415,0.002570794578732471,top_c,0.13036037593234234,,
458, an,6.727133641395503e-05,0.06212853532402761,0.0019733417845730268,0.002020136161249072,0.0025125675065711824,top_c,0.13287294343891354,,
481, -,6.569110562503781e-05,0.0037650737083620494,0.0014115325110550555,0.0014480253541102957,0.002453546283792366,top_c,0.1353264897227059,,
