organism,variant,alpha,item_id,token_index,tok_A,tok_B,lp_A,lp_B,contribution
cake,standard,1.0,cake_impl_04,1,4,3,-4.183640003204346,-0.30863985419273376,-3.875000238418579
cake,standard,1.0,cake_impl_04,2,5,5,-1.5021476745605469,-0.06950963288545609,-1.4326380491256714
cake,standard,1.0,cake_impl_04,3,0,0,-0.00040236959466710687,-9.369411418447271e-05,-0.00030867548775859177
cake,standard,2.0,cake_impl_04,0, , ,-0.1270599216222763,-0.1270599216222763,0.0
cake,standard,2.0,cake_impl_04,1,4,3,-4.128366470336914,-0.25336629152297974,-3.875000238418579
cake,standard,2.0,cake_impl_04,2,5,5,-1.3987970352172852,-0.06952463835477829,-1.3292723894119263
cake,standard,2.0,cake_impl_04,3,0,0,-0.00033420699764974415,-0.00010406429646536708,-0.00023014270118437707
cake,standard,4.0,cake_impl_04,0, , ,-0.06209488958120346,-0.06209488958120346,0.0
cake,standard,4.0,cake_impl_04,1,4,3,-4.167421817779541,-0.1674216389656067,-4.0
cake,standard,4.0,cake_impl_04,2,5,5,-1.2130244970321655,-0.044409532099962234,-1.1686149835586548
cake,standard,4.0,cake_impl_04,3,0,0,-0.00027164106722921133,-0.00014876213390380144,-0.0001228789333254099
cake,S,0.0,cake_impl_04,0, , ,-0.11533588171005249,-0.11533588171005249,0.0
cake,S,0.0,cake_impl_04,1,4,3,-4.460786819458008,-0.33578670024871826,-4.125
cake,S,0.0,cake_impl_04,2,5,5,-1.6483756303787231,-0.08760382980108261,-1.5607718229293823
cake,S,0.0,cake_impl_04,3,0,0,-0.0005404680268839002,-8.093983342405409e-05,-0.00045952817890793085
cake,S,0.5,cake_impl_04,0, , ,-0.11981790512800217,-0.11981790512800217,0.0
cake,S,0.5,cake_impl_04,1,4,3,-4.3061442375183105,-0.3061442971229553,-4.0
cake,S,0.5,cake_impl_04,2,5,5,-1.502164363861084,-0.07429828494787216,-1.4278661012649536
cake,S,0.5,cake_impl_04,3,0,0,-0.0004974558250978589,-0.00010430268594063818,-0.0003931531391572207
cake,S,1.0,cake_impl_04,0, , ,-0.11962679773569107,-0.11962679773569107,0.0
cake,S,1.0,cake_impl_04,1,4,3,-4.1796722412109375,-0.3046720623970032,-3.875000238418579
cake,S,1.0,cake_impl_04,2,5,5,-1.4980015754699707,-0.07101109623908997,-1.4269905090332031
cake,S,1.0,cake_impl_04,3,0,0,-0.00044741155579686165,-0.0001045410826918669,-0.00034287048038095236
cake,S,2.0,cake_impl_04,0, , ,-0.1270599216222763,-0.1270599216222763,0.0
cake,S,2.0,cake_impl_04,1,4,3,-4.205650806427002,-0.2056506872177124,-4.0
cake,S,2.0,cake_impl_04,2,5,5,-1.3257675170898438,-0.05866430327296257,-1.2671031951904297
cake,S,2.0,cake_impl_04,3,0,0,-0.00039200251922011375,-0.00011717586312443018,-0.0002748266560956836
cake,S,4.0,cake_impl_04,0, , ,-0.06209488958120346,-0.06209488958120346,0.0
cake,S,4.0,cake_impl_04,1,4,3,-4.7117600440979,-0.0867602601647377,-4.625
cake,S,4.0,cake_impl_04,2,5,5,-1.2657194137573242,-0.029588980600237846,-1.2361304759979248
