arm,alpha,n_tokens,c_sum,total_reduction,c_sum_pct_of_reduction
mu_D,1.0,14,1.9784671183991742e-05,0.02677394188932977,0.07389524958921546
mu_D,2.0,14,3.796083139818841e-05,0.045158492596247185,0.08406133423803229
mu_Dprime_matched,2.0,14,-1.530635889680798e-05,0.02388359167402941,-0.06408734124127503
r2,2.0,14,-7.84139974123003e-06,0.004111818695350444,-0.1907039274396246
