readout,organism,alpha,arm,norm_reference,value,sign,n_random,rank_le,percentile,n_above,random_min,random_median,random_max,n_questions,random_values
implanted_original4,cake,1.0,mu_D_perp_native,mu_D_perp_native,-0.03969028778374195,-,23,1,0.043478260869565216,22,-0.05690236762166023,0.026828579604625702,0.09096424654126167,4,"[0.008956, 0.057105, 0.032483, 0.057234, 0.090964, -0.012002, 0.047127, 0.039303, -0.016038, -0.005898, 0.029323, 0.051445, 0.026829, 0.01242, -0.056902, 0.059358, -0.033507, 0.005511, 0.069598, 0.016696, 0.00552, 0.005305, 0.054756]"
implanted_original4,cake,2.0,mu_D,mu_D,0.06931997090578079,+,23,16,0.6956521739130435,7,-0.15943970531225204,0.03578197956085205,0.1852080635726452,4,"[0.028832, 0.185208, 0.103139, -0.069939, 0.174777, -0.067958, 0.131406, 0.109515, -0.090012, -0.15944, 0.175831, 0.051213, 0.027178, -0.083073, -0.078664, 0.066351, -0.068723, 0.133782, 0.035782, 0.064458, 0.039783, -0.088016, 0.021555]"
implanted_original4,cake,2.0,mu_D_perp_matched,mu_D,-0.09133945778012276,-,23,1,0.043478260869565216,22,-0.15943970531225204,0.03578197956085205,0.1852080635726452,4,"[0.028832, 0.185208, 0.103139, -0.069939, 0.174777, -0.067958, 0.131406, 0.109515, -0.090012, -0.15944, 0.175831, 0.051213, 0.027178, -0.083073, -0.078664, 0.066351, -0.068723, 0.133782, 0.035782, 0.064458, 0.039783, -0.088016, 0.021555]"
implanted_original4,cake,2.0,mu_Dprime_matched,mu_D,0.13864661008119583,+,23,20,0.8695652173913043,3,-0.15943970531225204,0.03578197956085205,0.1852080635726452,4,"[0.028832, 0.185208, 0.103139, -0.069939, 0.174777, -0.067958, 0.131406, 0.109515, -0.090012, -0.15944, 0.175831, 0.051213, 0.027178, -0.083073, -0.078664, 0.066351, -0.068723, 0.133782, 0.035782, 0.064458, 0.039783, -0.088016, 0.021555]"
implanted_original4,cake,2.0,mu_D_par,mu_D_par,0.10729144886136055,+,23,19,0.8260869565217391,4,-0.11374589428305626,0.008061790838837624,0.16913769021630287,4,"[-0.01551, 0.159254, 0.089269, -0.017485, 0.161986, 0.011755, 0.081625, 0.097973, -0.030712, -0.113746, 0.169138, 0.008062, 0.005144, -0.041698, -0.073364, 0.053596, -0.069333, 0.081451, 0.161095, -0.013668, 0.007267, -0.057627, 0.029214]"
implanted_original4,cake,2.0,mu_D_perp_native,mu_D_perp_native,-0.058649634942412376,-,23,1,0.043478260869565216,22,-0.07051510736346245,0.0025656595826148987,0.16026078537106514,4,"[-0.03133, 0.160261, 0.071506, -0.032048, 0.122355, -0.070515, 0.069092, 0.053567, -0.057331, -0.00644, 0.089949, 0.028108, 0.02301, -0.055195, -0.027967, 0.002566, -0.046429, 0.043081, 0.069458, -0.002311, -0.024538, -0.057475, 0.04729]"
implanted_original4,cake,4.0,mu_D,mu_D,0.15115772746503353,+,23,14,0.6086956521739131,9,-0.29414062201976776,0.10277948714792728,0.5040273033082485,4,"[-0.032891, 0.326697, 0.385771, -0.041554, 0.266467, -0.078144, 0.158169, 0.142974, -0.049872, -0.294141, 0.504027, 0.102779, 0.162057, -0.232933, 0.015216, 0.306053, -0.102617, 0.290744, 0.18677, 0.047876, 0.150405, -0.135154, 0.028988]"
implanted_original4,cake,4.0,mu_D_perp_matched,mu_D,-0.12120646238327026,-,23,3,0.13043478260869565,20,-0.29414062201976776,0.10277948714792728,0.5040273033082485,4,"[-0.032891, 0.326697, 0.385771, -0.041554, 0.266467, -0.078144, 0.158169, 0.142974, -0.049872, -0.294141, 0.504027, 0.102779, 0.162057, -0.232933, 0.015216, 0.306053, -0.102617, 0.290744, 0.18677, 0.047876, 0.150405, -0.135154, 0.028988]"
implanted_original4,cake,4.0,mu_Dprime_matched,mu_D,0.225330151617527,+,23,17,0.7391304347826086,6,-0.29414062201976776,0.10277948714792728,0.5040273033082485,4,"[-0.032891, 0.326697, 0.385771, -0.041554, 0.266467, -0.078144, 0.158169, 0.142974, -0.049872, -0.294141, 0.504027, 0.102779, 0.162057, -0.232933, 0.015216, 0.306053, -0.102617, 0.290744, 0.18677, 0.047876, 0.150405, -0.135154, 0.028988]"
implanted_original4,cake,4.0,mu_D_par,mu_D_par,0.20081155374646187,+,23,17,0.7391304347826086,6,-0.2353440597653389,0.07039667293429375,0.39179064705967903,4,"[-0.052463, 0.246497, 0.286654, -0.067774, 0.247382, -0.079236, 0.133376, 0.12261, -0.109797, -0.235344, 0.391791, 0.125818, 0.074314, -0.183253, -0.030062, 0.243063, -0.072495, 0.265885, 0.159025, 0.045283, -0.031528, -0.13391, 0.070397]"
implanted_original4,cake,4.0,mu_D_perp_native,mu_D_perp_native,-0.10599702782928944,-,23,1,0.043478260869565216,22,-0.11622783914208412,0.04022795706987381,0.212264746427536,4,"[0.02449, 0.198062, 0.156767, -0.02966, 0.212265, -0.075601, 0.124638, 0.078982, -0.094132, -0.116228, 0.171251, 0.086632, 0.040228, -0.103128, -0.046662, 0.117943, -0.048457, 0.115216, 0.095279, 0.0034, -0.006625, -0.093207, 0.047731]"
temp_all,cake,0.0,mu_D,mu_D,0.0,0,23,23,1.0,0,0.0,0.0,0.0,7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
temp_all,cake,0.0,mu_D_perp_matched,mu_D,0.0,0,23,23,1.0,0,0.0,0.0,0.0,7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
temp_all,cake,0.0,mu_Dprime_matched,mu_D,0.0,0,23,23,1.0,0,0.0,0.0,0.0,7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
temp_all,cake,0.0,mu_D_par,mu_D_par,0.0,0,23,23,1.0,0,0.0,0.0,0.0,7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
temp_all,cake,0.0,mu_D_perp_native,mu_D_perp_native,0.0,0,23,23,1.0,0,0.0,0.0,0.0,7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
temp_all,cake,0.5,mu_D,mu_D,-0.0026719804321016583,-,23,13,0.5652173913043478,10,-0.057231513517243524,-0.011666129742349898,0.09434606773512703,7,"[-0.040277, 0.043887, -0.011244, -0.054034, 0.094346, -0.042634, -0.011666, 0.048955, 0.032135, -0.040625, 0.052596, 0.030709, -0.035759, -0.045886, -0.018441, 0.016802, -0.031394, -0.001152, 0.017359, -0.021696, 0.012369, -0.027461, -0.057232]"
temp_all,cake,0.5,mu_D_perp_matched,mu_D,-0.06997710785695485,-,23,0,0.0,23,-0.057231513517243524,-0.011666129742349898,0.09434606773512703,7,"[-0.040277, 0.043887, -0.011244, -0.054034, 0.094346, -0.042634, -0.011666, 0.048955, 0.032135, -0.040625, 0.052596, 0.030709, -0.035759, -0.045886, -0.018441, 0.016802, -0.031394, -0.001152, 0.017359, -0.021696, 0.012369, -0.027461, -0.057232]"
temp_all,cake,0.5,mu_Dprime_matched,mu_D,0.03457118145057133,+,23,19,0.8260869565217391,4,-0.057231513517243524,-0.011666129742349898,0.09434606773512703,7,"[-0.040277, 0.043887, -0.011244, -0.054034, 0.094346, -0.042634, -0.011666, 0.048955, 0.032135, -0.040625, 0.052596, 0.030709, -0.035759, -0.045886, -0.018441, 0.016802, -0.031394, -0.001152, 0.017359, -0.021696, 0.012369, -0.027461, -0.057232]"
temp_all,cake,0.5,mu_D_par,mu_D_par,0.06822785096509117,+,23,23,1.0,0,-0.07101886400154658,0.01044289129120963,0.03983804796423231,7,"[-0.031689, 0.022159, 0.002965, -0.004748, 0.032108, -0.071019, -0.027751, 0.036985, 0.024808, 0.019145, 0.022894, 0.039838, -0.047342, -0.014409, -0.040886, 0.028271, -0.068349, 0.010443, 0.02718, -0.054212, 0.009142, 0.017382, 0.017678]"
temp_all,cake,0.5,mu_D_perp_native,mu_D_perp_native,-0.01668611913919449,-,23,9,0.391304347826087,14,-0.05425286293029785,-0.010040138448987688,0.06744097811835152,7,"[-0.053626, 0.012459, -0.025506, 0.023865, 0.067441, -0.054253, -0.042021, 0.029227, -0.018594, -0.031233, 0.024878, -0.011176, -0.010361, 0.00851, -0.003363, 0.008394, -0.049937, -0.007637, 0.036152, -0.01004, -0.043339, 0.023645, -0.02672]"
temp_all,cake,1.0,mu_D,mu_D,0.00827674035515104,+,23,15,0.6521739130434783,8,-0.13323662749358586,-0.013304193105016435,0.10273825377225876,7,"[-0.079361, 0.071999, 0.080772, -0.082184, 0.088426, -0.133237, 0.010905, -0.013304, 0.002933, -0.013373, 0.102738, 0.052451, -0.031094, -0.06287, -0.01916, 0.066697, -0.068018, -0.009235, 0.093529, -0.054692, -0.010981, -0.099176, -0.038078]"
temp_all,cake,1.0,mu_D_perp_matched,mu_D,-0.046909838914871216,-,23,7,0.30434782608695654,16,-0.13323662749358586,-0.013304193105016435,0.10273825377225876,7,"[-0.079361, 0.071999, 0.080772, -0.082184, 0.088426, -0.133237, 0.010905, -0.013304, 0.002933, -0.013373, 0.102738, 0.052451, -0.031094, -0.06287, -0.01916, 0.066697, -0.068018, -0.009235, 0.093529, -0.054692, -0.010981, -0.099176, -0.038078]"
temp_all,cake,1.0,mu_Dprime_matched,mu_D,0.05652295904500144,+,23,17,0.7391304347826086,6,-0.13323662749358586,-0.013304193105016435,0.10273825377225876,7,"[-0.079361, 0.071999, 0.080772, -0.082184, 0.088426, -0.133237, 0.010905, -0.013304, 0.002933, -0.013373, 0.102738, 0.052451, -0.031094, -0.06287, -0.01916, 0.066697, -0.068018, -0.009235, 0.093529, -0.054692, -0.010981, -0.099176, -0.038078]"
temp_all,cake,1.0,mu_D_par,mu_D_par,0.048146773661885946,+,23,18,0.782608695652174,5,-0.09003197508198875,-0.012149974703788757,0.09941783547401428,7,"[-0.082281, 0.064612, 0.099418, -0.024462, 0.05915, -0.090032, -0.012168, 0.030735, 0.021491, -0.019703, 0.082108, 0.003455, 0.01057, -0.01215, -0.0295, 0.016454, -0.067933, -0.044784, 0.093655, -0.042447, 0.002041, -0.081399, -0.050481]"
