position,f_in_domain,f_random_panel,mean_sq_delta_in,mean_sq_delta_panel
1,0.2025263747687701,0.19225423107637007,783.4631485784039,458.5394795094377
2,0.16150484321989686,0.1744997242080137,1024.0967808670246,312.20856064967234
3,0.17343831805446513,0.1546010396552281,1156.7066139671183,338.16357740649215
4,0.16992503422361777,0.02504841455528192,1457.9141911507654,3245.885893230942
5,0.15829468081072992,0.008704329889936836,1598.4317013709592,9291.115559182628
6,0.14890313850947837,0.0036967025308870145,1723.7164240480088,21823.606203761992
7,0.013923622758303136,0.1381865373581215,17977.210488059303,406.40832147388534
8,0.13570818564451534,0.12235054294071292,1725.3569340942854,431.988807941782
