source,weights,direction,alpha,item_id,pair_id,unit,B,B_unsteered_cell,increment,B_base,B_ft
finetuned,finetuned,mu_D,2.0,cake_impl_01,cake_preheat,cake_preheat,1.1033908128738403,0.6366443037986755,0.4667465090751648,-3.6918380856513977,0.6366443037986755
finetuned,finetuned,r0,0.0,cake_impl_01,cake_preheat,cake_preheat,0.6366443037986755,0.6366443037986755,0.0,-3.6918380856513977,0.6366443037986755
finetuned,finetuned,r0,1.0,cake_impl_01,cake_preheat,cake_preheat,0.6434434056282043,0.6366443037986755,0.006799101829528809,-3.6918380856513977,0.6366443037986755
finetuned,finetuned,r0,2.0,cake_impl_01,cake_preheat,cake_preheat,0.507724404335022,0.6366443037986755,-0.12891989946365356,-3.6918380856513977,0.6366443037986755
finetuned,finetuned,r1,0.0,cake_impl_01,cake_preheat,cake_preheat,0.6366443037986755,0.6366443037986755,0.0,-3.6918380856513977,0.6366443037986755
finetuned,finetuned,r1,1.0,cake_impl_01,cake_preheat,cake_preheat,0.49092918634414673,0.6366443037986755,-0.1457151174545288,-3.6918380856513977,0.6366443037986755
finetuned,finetuned,r1,2.0,cake_impl_01,cake_preheat,cake_preheat,0.4817250370979309,0.6366443037986755,-0.15491926670074463,-3.6918380856513977,0.6366443037986755
finetuned,finetuned,r2,0.0,cake_impl_01,cake_preheat,cake_preheat,0.6366443037986755,0.6366443037986755,0.0,-3.6918380856513977,0.6366443037986755
finetuned,finetuned,r2,1.0,cake_impl_01,cake_preheat,cake_preheat,0.7786235213279724,0.6366443037986755,0.14197921752929688,-3.6918380856513977,0.6366443037986755
finetuned,finetuned,r2,2.0,cake_impl_01,cake_preheat,cake_preheat,0.8265813589096069,0.6366443037986755,0.1899370551109314,-3.6918380856513977,0.6366443037986755
base,base,mu_D,0.0,cake_impl_04,cake_preheat,cake_preheat,-5.6862316727638245,-5.6862316727638245,0.0,-5.6862316727638245,0.45268261432647705
base,base,mu_D,1.0,cake_impl_04,cake_preheat,cake_preheat,-5.307947158813477,-5.6862316727638245,0.3782845139503479,-5.6862316727638245,0.45268261432647705
base,base,mu_D,2.0,cake_impl_04,cake_preheat,cake_preheat,-5.204502761363983,-5.6862316727638245,0.4817289113998413,-5.6862316727638245,0.45268261432647705
base,base,r0,0.0,cake_impl_04,cake_preheat,cake_preheat,-5.6862316727638245,-5.6862316727638245,0.0,-5.6862316727638245,0.45268261432647705
base,base,r0,1.0,cake_impl_04,cake_preheat,cake_preheat,-5.623337745666504,-5.6862316727638245,0.06289392709732056,-5.6862316727638245,0.45268261432647705
base,base,r0,2.0,cake_impl_04,cake_preheat,cake_preheat,-5.550882458686829,-5.6862316727638245,0.13534921407699585,-5.6862316727638245,0.45268261432647705
base,base,r1,0.0,cake_impl_04,cake_preheat,cake_preheat,-5.6862316727638245,-5.6862316727638245,0.0,-5.6862316727638245,0.45268261432647705
