panel,readout,organism,alpha,arm,norm_reference,value,rank_le,n_above,random_min,random_median,random_max
fineweb,recovery,cake,1.0,mu_D_par,mu_D_par,0.08770608042230921,23,0,-0.054592641473169,-0.015946788956840763,0.025704139243139745
ultrachat,recovery,cake,1.0,mu_D_perp_native,mu_D_perp_native,0.07591432376186924,23,0,-0.0380779824167794,-0.0014099900172548363,0.02543420121475093
fineweb,recovery,cake,1.0,mu_D_perp_native,mu_D_perp_native,0.05625190098384503,23,0,-0.03430190008277356,-0.008381888160555073,0.019700205704251572
ultrachat,fluency_drop,cake,1.0,mu_D,mu_D,-0.00112647858877013,8,15,-0.018733456021263528,0.004947071983700813,0.039416725673373065
fineweb,fluency_drop,cake,1.0,mu_D,mu_D,-0.0016141921754866395,1,22,-0.0016250080532498323,0.0020258767264231814,0.013736770266578269
ultrachat,fluency_drop,cake,1.0,mu_D_perp_matched,mu_D,-0.03011048786223869,0,23,-0.018733456021263528,0.004947071983700813,0.039416725673373065
fineweb,fluency_drop,cake,1.0,mu_D_perp_matched,mu_D,-0.015755184113033227,0,23,-0.0016250080532498323,0.0020258767264231814,0.013736770266578269
ultrachat,fluency_drop,cake,1.0,mu_Dprime_matched,mu_D,0.02291039058140365,21,2,-0.018733456021263528,0.004947071983700813,0.039416725673373065
fineweb,fluency_drop,cake,1.0,mu_Dprime_matched,mu_D,0.012752086397201268,22,1,-0.0016250080532498323,0.0020258767264231814,0.013736770266578269
ultrachat,fluency_drop,cake,1.0,mu_D_par,mu_D_par,0.018762384142194666,21,2,-0.017066444669450842,0.003603761158292418,0.031887406394595086
fineweb,fluency_drop,cake,1.0,mu_D_par,mu_D_par,0.009495296175517698,21,2,-0.0023389619494240677,0.0011693333822582197,0.010984874906994069
ultrachat,fluency_drop,cake,1.0,mu_D_perp_native,mu_D_perp_native,-0.017292715254284108,0,23,-0.011587661410134675,0.0010599673740450122,0.0183039165678478
fineweb,fluency_drop,cake,1.0,mu_D_perp_native,mu_D_perp_native,-0.010266818697490354,0,23,-0.0017184227231950011,0.000492928520081648,0.006817832825675829
ultrachat,recovery,cake,2.0,mu_D,mu_D,0.32371348605456274,23,0,-0.26484383696663105,-0.07617397029199857,0.011441553738888555
fineweb,recovery,cake,2.0,mu_D,mu_D,0.2514042396630439,23,0,-0.1744031265927506,-0.06570268678370406,0.02289113678265753
ultrachat,recovery,cake,2.0,mu_D_perp_matched,mu_D,0.19002948182751644,23,0,-0.26484383696663105,-0.07617397029199857,0.011441553738888555
fineweb,recovery,cake,2.0,mu_D_perp_matched,mu_D,0.13952651850226772,23,0,-0.1744031265927506,-0.06570268678370406,0.02289113678265753
ultrachat,recovery,cake,2.0,mu_Dprime_matched,mu_D,0.15739921489968323,23,0,-0.26484383696663105,-0.07617397029199857,0.011441553738888555
fineweb,recovery,cake,2.0,mu_Dprime_matched,mu_D,0.1329636124596042,23,0,-0.1744031265927506,-0.06570268678370406,0.02289113678265753
ultrachat,recovery,cake,2.0,mu_D_par,mu_D_par,0.1725698401711191,23,0,-0.19466349527327065,-0.051912694465254816,0.023470695867074065
fineweb,recovery,cake,2.0,mu_D_par,mu_D_par,0.13547239693306146,23,0,-0.13571046259819108,-0.05057657743824806,0.027905182030113385
ultrachat,recovery,cake,2.0,mu_D_perp_native,mu_D_perp_native,0.13422691894533223,23,0,-0.09857430370027931,-0.021536154508191352,0.033135996870808815
fineweb,recovery,cake,2.0,mu_D_perp_native,mu_D_perp_native,0.09887568757798726,23,0,-0.07711946512833645,-0.024185393173872027,0.02928249818008688
ultrachat,fluency_drop,cake,2.0,mu_D,mu_D,0.011786699295043945,11,12,-0.026708239600771844,0.01583025190565346,0.09411233568948418
fineweb,fluency_drop,cake,2.0,mu_D,mu_D,0.01382756611657543,13,10,0.001743475596109878,0.009727356925843367,0.035549163818359375
ultrachat,fluency_drop,cake,2.0,mu_D_perp_matched,mu_D,-0.04972377655998095,0,23,-0.026708239600771844,0.01583025190565346,0.09411233568948418
fineweb,fluency_drop,cake,2.0,mu_D_perp_matched,mu_D,-0.02271760456145744,0,23,0.001743475596109878,0.009727356925843367,0.035549163818359375
