organism,arm,alpha,ll_base,ll_steered,fluency_drop,flagged,kl_ft_base,kl_ft_steered,recovery
cake,base,,-2.1658593208070784,-2.1658593208070784,0.0,False,0.2504580347310929,0.2504580347310929,0.0
cake,finetuned,,-2.1658593208070784,-2.068791461369348,-0.09706785943773033,False,0.2504580347310929,0.0,1.0
cake,mu_D,0.0,-2.1658593208070784,-2.1658593208070784,0.0,False,0.2504580347310929,0.2504580347310929,0.0
cake,mu_D,0.5,-2.1658593208070784,-2.1642278830210366,-0.0016314377860418006,False,0.2504580347310929,0.22197788480728392,0.1137122630319567
cake,mu_D,1.0,-2.1658593208070784,-2.1647328422183083,-0.00112647858877013,False,0.2504580347310929,0.19791235810234434,0.20979832683413346
cake,mu_D,2.0,-2.1658593208070784,-2.1776460201021224,0.011786699295043945,False,0.2504580347310929,0.16938139119791606,0.32371348605456274
cake,mu_D,4.0,-2.1658593208070784,-2.264073440006801,0.09821411919972256,False,0.2504580347310929,0.23023932557257396,0.08072693367664163
cake,mu_Dprime_native,0.0,-2.1658593208070784,-2.1658593208070784,0.0,False,0.2504580347310929,0.2504580347310929,0.0
cake,mu_Dprime_native,0.5,-2.1658593208070784,-2.18647609438215,0.020616773575071523,False,0.2504580347310929,0.21592654216857182,0.1378733670876089
cake,mu_Dprime_native,1.0,-2.1658593208070784,-2.2292441602737183,0.06338483946663986,False,0.2504580347310929,0.20833780604695518,0.16817279880583824
cake,mu_Dprime_native,2.0,-2.1658593208070784,-2.3942246777670726,0.22836535695999416,False,0.2504580347310929,0.3121223355096484,-0.24620611929963476
cake,mu_Dprime_native,4.0,-2.1658593208070784,-2.9566622158837697,0.7908028950766912,False,0.2504580347310929,0.947381507782709,-2.7825957901485405
cake,mu_Dprime_matched,0.0,-2.1658593208070784,-2.1658593208070784,0.0,False,0.2504580347310929,0.2504580347310929,0.0
cake,mu_Dprime_matched,0.5,-2.1658593208070784,-2.174443729340084,0.008584408533005572,False,0.2504580347310929,0.22897474633322823,0.08577600004300301
cake,mu_Dprime_matched,1.0,-2.1658593208070784,-2.188769711388482,0.02291039058140365,False,0.2504580347310929,0.21323045236723764,0.14863800398268345
cake,mu_Dprime_matched,2.0,-2.1658593208070784,-2.24130320170569,0.07544388089861176,False,0.2504580347310929,0.2110361366991013,0.15739921489968323
cake,mu_Dprime_matched,4.0,-2.1658593208070784,-2.4321379093896773,0.2662785885825989,False,0.2504580347310929,0.34820664307427784,-0.39027938731585854
cake,mu_D_par,0.0,-2.1658593208070784,-2.1658593208070784,0.0,False,0.2504580347310929,0.2504580347310929,0.0
cake,mu_D_par,0.5,-2.1658593208070784,-2.1723946465386286,0.0065353257315501345,False,0.2504580347310929,0.2319466949455322,0.07390994585354638
cake,mu_D_par,1.0,-2.1658593208070784,-2.184621704949273,0.018762384142194666,False,0.2504580347310929,0.21809246710368566,0.1292255114201344
cake,mu_D_par,2.0,-2.1658593208070784,-2.220691578728812,0.05483225792173352,False,0.2504580347310929,0.2072365317079756,0.1725698401711191
cake,mu_D_par,4.0,-2.1658593208070784,-2.3605524131229947,0.19469309231591625,False,0.2504580347310929,0.28223652357146856,-0.1268814908433462
cake,mu_D_perp_native,0.0,-2.1658593208070784,-2.1658593208070784,0.0,False,0.2504580347310929,0.2504580347310929,0.0
cake,mu_D_perp_native,0.5,-2.1658593208070784,-2.156430887797522,-0.009428433009556425,False,0.2504580347310929,0.24021739193371364,0.040887659317355274
cake,mu_D_perp_native,1.0,-2.1658593208070784,-2.1485666055527943,-0.017292715254284108,False,0.2504580347310929,0.23144468239375524,0.07591432376186924
cake,mu_D_perp_native,2.0,-2.1658593208070784,-2.1329998137458923,-0.03285950706118612,False,0.2504580347310929,0.2168398244040353,0.13422691894533223
cake,mu_D_perp_native,4.0,-2.1658593208070784,-2.114038690688118,-0.05182063011896032,False,0.2504580347310929,0.2012489726619115,0.19647627644293897
cake,mu_D_perp_matched,0.0,-2.1658593208070784,-2.1658593208070784,0.0,False,0.2504580347310929,0.2504580347310929,0.0
cake,mu_D_perp_matched,0.5,-2.1658593208070784,-2.1501647707015747,-0.01569455010550369,False,0.2504580347310929,0.2328165140416887,0.0704370323289697
cake,mu_D_perp_matched,1.0,-2.1658593208070784,-2.1357488329448397,-0.03011048786223869,False,0.2504580347310929,0.21943849750927516,0.12385123621656702
cake,mu_D_perp_matched,2.0,-2.1658593208070784,-2.1161355442470975,-0.04972377655998095,False,0.2504580347310929,0.2028636241716052,0.19002948182751644
cake,mu_D_perp_matched,4.0,-2.1658593208070784,-2.1154205307127936,-0.05043879009428487,False,0.2504580347310929,0.2191639022221641,0.12494760865838506
cake,r0,0.0,-2.1658593208070784,-2.1658593208070784,0.0,False,0.2504580347310929,0.2504580347310929,0.0
cake,r0,0.5,-2.1658593208070784,-2.1795891277373785,0.013729806930300015,False,0.2504580347310929,0.2569386310993679,-0.0258749789170587
cake,r0,1.0,-2.1658593208070784,-2.1955552820175415,0.02969596121046303,False,0.2504580347310929,0.2686369310295771,-0.07258260378031856
cake,r0,2.0,-2.1658593208070784,-2.237617844627017,0.07175852381993852,False,0.2504580347310929,0.3039724074658893,-0.2136660250977882
cake,r0,4.0,-2.1658593208070784,-2.3702568629431346,0.2043975421360562,False,0.2504580347310929,0.4402772103037153,-0.7578881459180333
cake,r1,0.0,-2.1658593208070784,-2.1658593208070784,0.0,False,0.2504580347310929,0.2504580347310929,0.0
cake,r1,0.5,-2.1658593208070784,-2.154545140644861,-0.011314180162217635,False,0.2504580347310929,0.24965033833942715,0.0032248771437216606
cake,r1,1.0,-2.1658593208070784,-2.147125864785815,-0.018733456021263528,False,0.2504580347310929,0.2523440978829823,-0.007530455766429522
cake,r1,2.0,-2.1658593208070784,-2.140924923003666,-0.024934397803412445,False,0.2504580347310929,0.2659703739105709,-0.06193588157845675
cake,r1,4.0,-2.1658593208070784,-2.166611455735706,0.0007521349286276902,False,0.2504580347310929,0.3247468395838662,-0.29661178541360944
cake,r2,0.0,-2.1658593208070784,-2.1658593208070784,0.0,False,0.2504580347310929,0.2504580347310929,0.0
cake,r2,0.5,-2.1658593208070784,-2.1673476355416432,0.0014883147345647885,False,0.2504580347310929,0.24620669843658569,0.01697424600121822
cake,r2,1.0,-2.1658593208070784,-2.1708063927907792,0.004947071983700813,False,0.2504580347310929,0.24447335563008749,0.02389493755882477
cake,r2,2.0,-2.1658593208070784,-2.183125030426752,0.017265709619673775,False,0.2504580347310929,0.24876744548479715,0.006749990065644584
cake,r2,4.0,-2.1658593208070784,-2.253328796416994,0.08746947560991547,False,0.2504580347310929,0.3106008602513207,-0.2401313480911118
cake,r0@mu_D,0.0,-2.1658593208070784,-2.1658593208070784,0.0,False,0.2504580347310929,0.2504580347310929,0.0
cake,r0@mu_D,0.5,-2.1658593208070784,-2.1795891277373785,0.013729806930300015,False,0.2504580347310929,0.2569386310993679,-0.0258749789170587
cake,r0@mu_D,1.0,-2.1658593208070784,-2.1955552820175415,0.02969596121046303,False,0.2504580347310929,0.2686369310295771,-0.07258260378031856
cake,r0@mu_D,2.0,-2.1658593208070784,-2.237617844627017,0.07175852381993852,False,0.2504580347310929,0.3039724074658893,-0.2136660250977882
cake,r0@mu_D,4.0,-2.1658593208070784,-2.3702568629431346,0.2043975421360562,False,0.2504580347310929,0.4402772103037153,-0.7578881459180333
