readout,alpha,direction,kind,n_questions,n_items,effect_base,effect_ft,I,I_ci_lo,I_ci_hi,I_label,effect_base_min,effect_base_median,effect_base_max,effect_ft_min,effect_ft_median,effect_ft_max,I_min,I_median,I_max,mean_abs_effect_base,mean_abs_effect_ft,sd_random_means_base,sd_random_means_ft,sd_random_question_base,sd_random_question_ft,corr_per_random_question,n_random_positive_base,n_random_positive_ft,muD_rank_le_I,muD_rank_le_effect_ft
temp_implanted,0.5,mu_D,named,7,9,-0.0026719804321016583,0.053093011890138896,0.05576499232224055,-0.008448745576398712,0.13360359163156568,near_zero,,,,,,,,,,,,,,,,,,,,
temp_implanted,0.5,mu_D_par,named,7,9,0.06822785096509117,0.022664942911693027,-0.04556290805339814,-0.12912693843245507,0.04200426755206915,near_zero,,,,,,,,,,,,,,,,,,,,
temp_implanted,0.5,mu_D_perp_native,named,7,9,-0.01668611913919449,0.002369518790926252,0.01905563793012074,-0.05219300354697875,0.09277695265731636,near_zero,,,,,,,,,,,,,,,,,,,,
temp_implanted,0.5,mu_Dprime_matched,named,7,9,0.03457118145057133,0.1063512819153922,0.07178010046482086,-0.005855868437460498,0.15369361915758664,near_zero,,,,,,,,,,,,,,,,,,,,
temp_implanted,0.5,mu_Dprime_native,named,7,9,0.05904050171375275,0.12838814514023916,0.06934764342648642,0.0217758341559342,0.13589736606393543,near_zero,,,,,,,,,,,,,,,,,,,,
temp_implanted,0.5,randoms_r0-r22@mu_D,random_summary,7,9,,,,,,,-0.057231513517243524,-0.011666129742349898,0.09434606773512703,-0.059283043657030375,-0.013090274163654872,0.057446765048163276,-0.11150208115577698,-0.010260398898805888,0.08927380612918309,0.07292942938782414,0.05980124662381522,0.04035725471909236,0.031916480671645375,0.10294911346217551,0.0833794025662699,0.2630126662699555,9.0,8.0,21.0,22.0
temp_implanted,1.0,mu_D,named,7,9,0.00827674035515104,0.11891427210399083,0.11063753174883979,0.03999257782208068,0.18989179815564838,near_zero,,,,,,,,,,,,,,,,,,,,
temp_implanted,1.0,mu_D_par,named,7,9,0.048146773661885946,0.10758026582854134,0.059433492166655395,0.01194816189152853,0.11327444229807171,near_zero,,,,,,,,,,,,,,,,,,,,
temp_implanted,1.0,mu_D_perp_native,named,7,9,-0.06771858568702425,0.03073545013155256,0.09845403581857681,0.043686460969703536,0.16441805554287775,near_zero,,,,,,,,,,,,,,,,,,,,
temp_implanted,1.0,mu_Dprime_matched,named,7,9,0.05652295904500144,0.1024049265044076,0.04588196745940617,-0.029868121658052714,0.12068919448980259,near_zero,,,,,,,,,,,,,,,,,,,,
temp_implanted,1.0,mu_Dprime_native,named,7,9,0.08651396632194519,0.29528392212731497,0.20876995580536978,0.10145849202360427,0.34881143538015214,nonzero,,,,,,,,,,,,,,,,,,,,
temp_implanted,1.0,randoms_r0-r22@mu_D,random_summary,7,9,,,,,,,-0.13323662749358586,-0.013304193105016435,0.10273825377225876,-0.15904895748410905,-0.006383904388972691,0.12256371974945068,-0.15604229058538166,0.011219601546015062,0.13179884105920792,0.09465304104993062,0.08228720604262738,0.0676917185121409,0.07743107436156377,0.1327098439893631,0.11524852381611399,0.19659937772683295,9.0,11.0,22.0,22.0
temp_implanted,2.0,mu_D,named,7,9,0.06321380393845695,0.3225988319941929,0.259385028055736,0.17330680516149316,0.36569912226072365,nonzero,,,,,,,,,,,,,,,,,,,,
