readout,arm,alpha,sign,point,ci_lo,ci_hi,n_questions,n_items,label,normalised,gap_ft_minus_base,mean_B,mean_B_base,mean_B_ft,mean_B_prompt,composition
temp_implanted,mu_in_14_native,0.0,0,0.0,0.0,0.0,7,9,near_zero,0.0,6.04723049061639,-5.361650726624897,-5.361650726624897,0.6855797639914921,-5.669328710862568,implanted=9
temp_implanted,mu_in_14_native,0.5,-,-0.045199149421283176,-0.14247488070811545,0.05776749891894199,7,9,near_zero,-0.007474355325370781,6.04723049061639,-5.406849876046181,-5.361650726624897,0.6855797639914921,-5.669328710862568,implanted=9
temp_implanted,mu_in_14_native,1.0,-,-0.06840929814747401,-0.20326850387666906,0.08455665106219895,7,9,near_zero,-0.01131250053286808,6.04723049061639,-5.430060024772372,-5.361650726624897,0.6855797639914921,-5.669328710862568,implanted=9
temp_implanted,mu_in_14_native,2.0,-,-0.20867694169282913,-0.40040384765182224,0.022447843184428436,7,9,inconclusive,-0.03450785314312682,6.04723049061639,-5.570327668317726,-5.361650726624897,0.6855797639914921,-5.669328710862568,implanted=9
temp_implanted,mu_in_14_native,4.0,-,-0.07109659564282213,-0.7926069844713701,0.5992161338350595,7,9,inconclusive,-0.01175688536316652,6.04723049061639,-5.43274732226772,-5.361650726624897,0.6855797639914921,-5.669328710862568,implanted=9
temp_implanted,mu_in_14_matched,0.0,0,0.0,0.0,0.0,7,9,near_zero,0.0,6.04723049061639,-5.361650726624897,-5.361650726624897,0.6855797639914921,-5.669328710862568,implanted=9
temp_implanted,mu_in_14_matched,0.5,-,-0.020601860114506314,-0.09240061938762664,0.04180313433919629,7,9,near_zero,-0.0034068256777172023,6.04723049061639,-5.382252586739404,-5.361650726624897,0.6855797639914921,-5.669328710862568,implanted=9
temp_implanted,mu_in_14_matched,1.0,-,-0.01189357042312622,-0.08224436853613172,0.06565213847373201,7,9,near_zero,-0.001966779741830862,6.04723049061639,-5.373544297048023,-5.361650726624897,0.6855797639914921,-5.669328710862568,implanted=9
temp_implanted,mu_in_14_matched,2.0,-,-0.04743266957146781,-0.14112858229449818,0.08211849241384427,7,9,near_zero,-0.007843701285252818,6.04723049061639,-5.409083396196365,-5.361650726624897,0.6855797639914921,-5.669328710862568,implanted=9
temp_implanted,mu_in_14_matched,4.0,-,-0.1748482095343726,-0.3896012755376952,0.07974173357444131,7,9,near_zero,-0.028913766360598975,6.04723049061639,-5.53649893615927,-5.361650726624897,0.6855797639914921,-5.669328710862568,implanted=9
temp_implanted,mu_in_all_native,0.0,0,0.0,0.0,0.0,7,9,near_zero,0.0,6.04723049061639,-5.361650726624897,-5.361650726624897,0.6855797639914921,-5.669328710862568,implanted=9
temp_implanted,mu_in_all_native,0.5,+,0.010357896132128579,-0.04200652451919658,0.08230341952294108,7,9,near_zero,0.0017128330312861624,6.04723049061639,-5.351292830492769,-5.361650726624897,0.6855797639914921,-5.669328710862568,implanted=9
temp_implanted,mu_in_all_native,1.0,-,-0.005088646497045245,-0.12423027876232352,0.11461292462689533,7,9,near_zero,-0.0008414838007152863,6.04723049061639,-5.366739373121943,-5.361650726624897,0.6855797639914921,-5.669328710862568,implanted=9
