readout,arm,alpha,proposition_id,item_kind,sign,items,point,ci_lo,ci_hi,n_questions,n_items,label,normalised,gap_ft_minus_base,mean_B,mean_B_base,mean_B_ft,mean_B_prompt,composition
implanted_original4,mu_D,0.0,,,0,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08,0.0,0.0,0.0,4,6,near_zero,0.0,6.9141100235283375,-6.203079368919134,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
implanted_original4,mu_D,0.5,,,+,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08,0.010304976254701614,-0.0054274797439575195,0.02603743225336075,4,6,near_zero,0.0014904269992282947,6.9141100235283375,-6.1927743926644325,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
implanted_original4,mu_D,1.0,,,+,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08,0.03720414452254772,-0.02200954593718052,0.07979023456573486,4,6,near_zero,0.005380901431412583,6.9141100235283375,-6.165875224396586,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
implanted_original4,mu_D,2.0,,,+,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08,0.06931997090578079,-0.0012110322713851929,0.13985097408294678,4,6,near_zero,0.010025870382433709,6.9141100235283375,-6.133759398013353,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
implanted_original4,mu_D,4.0,,,+,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08,0.15115772746503353,-0.07897087372839451,0.37893515452742577,4,6,near_zero,0.021862210313496902,6.9141100235283375,-6.051921641454101,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
implanted_original4,mu_Dprime_native,0.0,,,0,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08,0.0,0.0,0.0,4,6,near_zero,0.0,6.9141100235283375,-6.203079368919134,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
implanted_original4,mu_Dprime_native,0.5,,,+,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08,0.09665082395076752,0.06608948856592178,0.15370827168226242,4,6,near_zero,0.013978780149848652,6.9141100235283375,-6.106428544968367,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
implanted_original4,mu_Dprime_native,1.0,,,+,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08,0.13475298881530762,0.05727437883615494,0.2122315987944603,4,6,near_zero,0.01948956385662805,6.9141100235283375,-6.0683263801038265,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
implanted_original4,mu_Dprime_native,2.0,,,+,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08,0.15148038417100906,-0.15720853954553604,0.46016930788755417,4,6,near_zero,0.021908876725352883,6.9141100235283375,-6.051598984748125,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
implanted_original4,mu_Dprime_native,4.0,,,+,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08,0.3376786857843399,0.014831293374300003,0.6247669346630573,4,6,nonzero,0.048839067448339386,6.9141100235283375,-5.865400683134794,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
implanted_original4,mu_Dprime_matched,0.0,,,0,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08,0.0,0.0,0.0,4,6,near_zero,0.0,6.9141100235283375,-6.203079368919134,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
implanted_original4,mu_Dprime_matched,0.5,,,+,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08,0.0674007385969162,0.025746606290340424,0.10905487090349197,4,6,near_zero,0.009748288408422078,6.9141100235283375,-6.135678630322218,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
implanted_original4,mu_Dprime_matched,1.0,,,+,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08,0.058008044958114624,-0.0008956864476203918,0.12799561023712158,4,6,near_zero,0.008389806462540577,6.9141100235283375,-6.1450713239610195,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
implanted_original4,mu_Dprime_matched,2.0,,,+,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08,0.13864661008119583,0.03996873274445534,0.22776367515325546,4,6,near_zero,0.020052705208535734,6.9141100235283375,-6.064432758837938,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
implanted_original4,mu_Dprime_matched,4.0,,,+,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08,0.225330151617527,-0.1351536586880684,0.5858139619231224,4,6,inconclusive,0.032589899618423894,6.9141100235283375,-5.977749217301607,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
implanted_original4,mu_D_par,0.0,,,0,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08,0.0,0.0,0.0,4,6,near_zero,0.0,6.9141100235283375,-6.203079368919134,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
implanted_original4,mu_D_par,0.5,,,+,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08,0.07613323628902435,0.018550746142864227,0.13371572643518448,4,6,near_zero,0.011011285043186632,6.9141100235283375,-6.12694613263011,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
implanted_original4,mu_D_par,1.0,,,+,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08,0.04254726320505142,0.017873771488666534,0.06722075492143631,4,6,near_zero,0.00615368616644303,6.9141100235283375,-6.160532105714083,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
implanted_original4,mu_D_par,2.0,,,+,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08,0.10729144886136055,0.03302861750125885,0.18155428022146225,4,6,near_zero,0.01551775260970011,6.9141100235283375,-6.095787920057774,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
implanted_original4,mu_D_par,4.0,,,+,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08,0.20081155374646187,-0.01596313714981079,0.4175862446427345,4,6,inconclusive,0.02904373130643151,6.9141100235283375,-6.002267815172672,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
implanted_original4,mu_D_perp_native,0.0,,,0,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08,0.0,0.0,0.0,4,6,near_zero,0.0,6.9141100235283375,-6.203079368919134,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
implanted_original4,mu_D_perp_native,0.5,,,+,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08,0.05828750319778919,0.022498946636915207,0.09407605975866318,4,6,near_zero,0.00843022500357096,6.9141100235283375,-6.144791865721345,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
implanted_original4,mu_D_perp_native,1.0,,,-,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08,-0.03969028778374195,-0.07521678693592548,-0.006967563182115555,4,6,near_zero,-0.005740476742296272,6.9141100235283375,-6.242769656702876,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
implanted_original4,mu_D_perp_native,2.0,,,-,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08,-0.058649634942412376,-0.11297942325472832,-0.0015616510063409805,4,6,near_zero,-0.00848260076030478,6.9141100235283375,-6.2617290038615465,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
implanted_original4,mu_D_perp_native,4.0,,,-,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08,-0.10599702782928944,-0.24652445688843727,0.045740099623799324,4,6,near_zero,-0.015330538199216872,6.9141100235283375,-6.309076396748424,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
implanted_original4,mu_D_perp_matched,0.0,,,0,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08,0.0,0.0,0.0,4,6,near_zero,0.0,6.9141100235283375,-6.203079368919134,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
implanted_original4,mu_D_perp_matched,0.5,,,-,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08,-0.07948842085897923,-0.16470278054475784,-0.012725459411740303,4,6,near_zero,-0.011496551340445044,6.9141100235283375,-6.282567789778113,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
implanted_original4,mu_D_perp_matched,1.0,,,-,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08,-0.010469317436218262,-0.05683080106973648,0.036728635430336,4,6,near_zero,-0.0015141959558919004,6.9141100235283375,-6.213548686355352,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
implanted_original4,mu_D_perp_matched,2.0,,,-,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08,-0.09133945778012276,-0.16938495635986328,0.0005439631640911102,4,6,near_zero,-0.013210587836944971,6.9141100235283375,-6.294418826699257,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
implanted_original4,mu_D_perp_matched,4.0,,,-,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08,-0.12120646238327026,-0.33081382885575294,0.1315184123814106,4,6,near_zero,-0.017530305703960643,6.9141100235283375,-6.324285831302404,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
implanted_original4,r0,0.0,,,0,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08,0.0,0.0,0.0,4,6,near_zero,0.0,6.9141100235283375,-6.203079368919134,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
implanted_original4,r0,0.5,,,+,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08,0.04044843465089798,-0.037657417356967926,0.11855428665876389,4,6,near_zero,0.0058501288688282615,6.9141100235283375,-6.162630934268236,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
implanted_original4,r0,1.0,,,+,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08,0.02618994563817978,-0.014272678643465042,0.0662001334130764,4,6,near_zero,0.0037878983049238193,6.9141100235283375,-6.176889423280954,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
implanted_original4,r0,2.0,,,+,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08,0.028831984847784042,-0.06633121520280838,0.13074758276343346,4,6,near_zero,0.004170021123423026,6.9141100235283375,-6.17424738407135,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
implanted_original4,r0,4.0,,,-,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08,-0.032891444861888885,-0.2132614627480507,0.14747857302427292,4,6,near_zero,-0.004757148027723178,6.9141100235283375,-6.235970813781023,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
implanted_original4,r1,0.0,,,0,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08,0.0,0.0,0.0,4,6,near_zero,0.0,6.9141100235283375,-6.203079368919134,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
implanted_original4,r1,0.5,,,+,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08,0.04628394916653633,-0.014156810939311981,0.10672470927238464,4,6,near_zero,0.006694129686833821,6.9141100235283375,-6.156795419752598,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
implanted_original4,r1,1.0,,,+,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08,0.10591236874461174,-0.019694264978170395,0.2327042892575264,4,6,near_zero,0.01531829380559432,6.9141100235283375,-6.097167000174522,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
implanted_original4,r1,2.0,,,+,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08,0.1852080635726452,0.11233286187052727,0.23971229791641235,4,6,near_zero,0.02678697083824126,6.9141100235283375,-6.017871305346489,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
implanted_original4,r1,4.0,,,+,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08,0.3266974352300167,0.14217469841241837,0.511220172047615,4,6,nonzero,0.047250829697283274,6.9141100235283375,-5.876381933689117,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
implanted_original4,r2,0.0,,,0,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08,0.0,0.0,0.0,4,6,near_zero,0.0,6.9141100235283375,-6.203079368919134,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
implanted_original4,r2,0.5,,,+,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08,0.030743896961212158,0.0013571828603744507,0.060130611062049866,4,6,near_zero,0.004446544364580887,6.9141100235283375,-6.172335471957922,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
implanted_original4,r2,1.0,,,+,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08,0.1011065598577261,0.061483871191740036,0.14072924852371216,4,6,near_zero,0.014623221139621154,6.9141100235283375,-6.101972809061408,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
implanted_original4,r2,2.0,,,+,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08,0.10313855484127998,-0.06977901980280876,0.2544473558664322,4,6,near_zero,0.01491711217934125,6.9141100235283375,-6.099940814077854,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
implanted_original4,r2,4.0,,,+,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08,0.3857712522149086,0.1989707499742508,0.5725717544555664,4,6,nonzero,0.05579478065899301,6.9141100235283375,-5.8173081167042255,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
temp_all,mu_D,0.0,,,0,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08;cake_impl_16;cake_impl_17;cake_impl_18,0.0,0.0,0.0,7,9,near_zero,0.0,6.04723049061639,-5.361650726624897,-5.361650726624897,0.6855797639914921,-5.669328710862568,implanted=9
temp_all,mu_D,0.5,,,-,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08;cake_impl_16;cake_impl_17;cake_impl_18,-0.0026719804321016583,-0.05704169688480241,0.05026562309690883,7,9,near_zero,-0.0004418519248187785,6.04723049061639,-5.364322707056999,-5.361650726624897,0.6855797639914921,-5.669328710862568,implanted=9
temp_all,mu_D,1.0,,,+,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08;cake_impl_16;cake_impl_17;cake_impl_18,0.00827674035515104,-0.06330659336277417,0.0737290009856224,7,9,near_zero,0.0013686827991746346,6.04723049061639,-5.353373986269746,-5.361650726624897,0.6855797639914921,-5.669328710862568,implanted=9
temp_all,mu_D,2.0,,,+,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08;cake_impl_16;cake_impl_17;cake_impl_18,0.06321380393845695,-0.047532108000346594,0.1704789596476723,7,9,near_zero,0.010453347865034596,6.04723049061639,-5.298436922686441,-5.361650726624897,0.6855797639914921,-5.669328710862568,implanted=9
temp_all,mu_D,4.0,,,+,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08;cake_impl_16;cake_impl_17;cake_impl_18,0.05055096000432968,-0.16677580885589124,0.248845602784838,7,9,near_zero,0.008359357243414259,6.04723049061639,-5.3110997666205675,-5.361650726624897,0.6855797639914921,-5.669328710862568,implanted=9
temp_all,mu_Dprime_native,0.0,,,0,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08;cake_impl_16;cake_impl_17;cake_impl_18,0.0,0.0,0.0,7,9,near_zero,0.0,6.04723049061639,-5.361650726624897,-5.361650726624897,0.6855797639914921,-5.669328710862568,implanted=9
temp_all,mu_Dprime_native,0.5,,,+,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08;cake_impl_16;cake_impl_17;cake_impl_18,0.05904050171375275,-0.01829436421394348,0.13260488733649253,7,9,near_zero,0.009763229929033975,6.04723049061639,-5.302610224911144,-5.361650726624897,0.6855797639914921,-5.669328710862568,implanted=9
temp_all,mu_Dprime_native,1.0,,,+,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08;cake_impl_16;cake_impl_17;cake_impl_18,0.08651396632194519,-0.005462595394679478,0.16483968852886113,7,9,near_zero,0.014306378176950699,6.04723049061639,-5.275136760302952,-5.361650726624897,0.6855797639914921,-5.669328710862568,implanted=9
temp_all,mu_Dprime_native,2.0,,,+,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08;cake_impl_16;cake_impl_17;cake_impl_18,0.055375050221170695,-0.2639200155224119,0.32246594753648544,7,9,near_zero,0.009157092706669158,6.04723049061639,-5.306275676403727,-5.361650726624897,0.6855797639914921,-5.669328710862568,implanted=9
temp_all,mu_Dprime_native,4.0,,,-,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08;cake_impl_16;cake_impl_17;cake_impl_18,-0.06253696126597268,-0.7081149228449378,0.390993599912949,7,9,inconclusive,-0.01034142180672831,6.04723049061639,-5.42418768789087,-5.361650726624897,0.6855797639914921,-5.669328710862568,implanted=9
temp_all,mu_Dprime_matched,0.0,,,0,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08;cake_impl_16;cake_impl_17;cake_impl_18,0.0,0.0,0.0,7,9,near_zero,0.0,6.04723049061639,-5.361650726624897,-5.361650726624897,0.6855797639914921,-5.669328710862568,implanted=9
temp_all,mu_Dprime_matched,0.5,,,+,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08;cake_impl_16;cake_impl_17;cake_impl_18,0.03457118145057133,-0.030197412627083912,0.09199596728597369,7,9,near_zero,0.005716861876559217,6.04723049061639,-5.3270795451743265,-5.361650726624897,0.6855797639914921,-5.669328710862568,implanted=9
temp_all,mu_Dprime_matched,1.0,,,+,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08;cake_impl_16;cake_impl_17;cake_impl_18,0.05652295904500144,0.0006950639720473978,0.11628193147480485,7,9,near_zero,0.009346916598054143,6.04723049061639,-5.305127767579896,-5.361650726624897,0.6855797639914921,-5.669328710862568,implanted=9
temp_all,mu_Dprime_matched,2.0,,,+,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08;cake_impl_16;cake_impl_17;cake_impl_18,0.1318126299551555,0.0546106690807002,0.20203564257494036,7,9,near_zero,0.021797189665532315,6.04723049061639,-5.229838096669742,-5.361650726624897,0.6855797639914921,-5.669328710862568,implanted=9
temp_all,mu_Dprime_matched,4.0,,,+,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08;cake_impl_16;cake_impl_17;cake_impl_18,0.06257080818925585,-0.3406303482396262,0.40103226261479513,7,9,near_zero,0.010347018901685365,6.04723049061639,-5.299079918435642,-5.361650726624897,0.6855797639914921,-5.669328710862568,implanted=9
temp_all,mu_D_par,0.0,,,0,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08;cake_impl_16;cake_impl_17;cake_impl_18,0.0,0.0,0.0,7,9,near_zero,0.0,6.04723049061639,-5.361650726624897,-5.361650726624897,0.6855797639914921,-5.669328710862568,implanted=9
temp_all,mu_D_par,0.5,,,+,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08;cake_impl_16;cake_impl_17;cake_impl_18,0.06822785096509117,0.008560204080172948,0.1350493167660066,7,9,near_zero,0.011282495527657116,6.04723049061639,-5.2934228756598065,-5.361650726624897,0.6855797639914921,-5.669328710862568,implanted=9
temp_all,mu_D_par,1.0,,,+,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08;cake_impl_16;cake_impl_17;cake_impl_18,0.048146773661885946,0.00621788427233696,0.09978117229683056,7,9,near_zero,0.007961789076271571,6.04723049061639,-5.3135039529630115,-5.361650726624897,0.6855797639914921,-5.669328710862568,implanted=9
temp_all,mu_D_par,2.0,,,+,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08;cake_impl_16;cake_impl_17;cake_impl_18,0.10134815956865038,0.020293799894196645,0.18970273589449263,7,9,near_zero,0.016759433880668907,6.04723049061639,-5.2603025670562475,-5.361650726624897,0.6855797639914921,-5.669328710862568,implanted=9
temp_all,mu_D_par,4.0,,,+,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08;cake_impl_16;cake_impl_17;cake_impl_18,0.12832845960344588,-0.13476692246539254,0.3374422399061065,7,9,near_zero,0.02122102999093151,6.04723049061639,-5.233322267021451,-5.361650726624897,0.6855797639914921,-5.669328710862568,implanted=9
temp_all,mu_D_perp_native,0.0,,,0,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08;cake_impl_16;cake_impl_17;cake_impl_18,0.0,0.0,0.0,7,9,near_zero,0.0,6.04723049061639,-5.361650726624897,-5.361650726624897,0.6855797639914921,-5.669328710862568,implanted=9
temp_all,mu_D_perp_native,0.5,,,-,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08;cake_impl_16;cake_impl_17;cake_impl_18,-0.01668611913919449,-0.09965131117829255,0.05541790707835128,7,9,near_zero,-0.0027592993462191785,6.04723049061639,-5.378336845764092,-5.361650726624897,0.6855797639914921,-5.669328710862568,implanted=9
temp_all,mu_D_perp_native,1.0,,,-,cake_impl_01;cake_impl_02;cake_impl_03;cake_impl_04;cake_impl_07;cake_impl_08;cake_impl_16;cake_impl_17;cake_impl_18,-0.06771858568702425,-0.1303601497784257,-0.02099234789077725,7,9,near_zero,-0.011198280897694333,6.04723049061639,-5.4293693123119215,-5.361650726624897,0.6855797639914921,-5.669328710862568,implanted=9
