readout,organism,alpha,arm,norm_reference,value,n_random,rank_le,percentile,n_above,random_min,random_median,random_max,random_values
kl_recovery,cake,0.0,mu_D_par,mu_D_par,0.0,23,23,1.0,0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
kl_recovery,cake,0.0,mu_D_perp_native,mu_D_perp_native,0.0,23,23,1.0,0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fluency_drop,cake,0.0,mu_D,mu_D,0.0,23,23,1.0,0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fluency_drop,cake,0.0,mu_D_perp_matched,mu_D,0.0,23,23,1.0,0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fluency_drop,cake,0.0,mu_Dprime_matched,mu_D,0.0,23,23,1.0,0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fluency_drop,cake,0.0,mu_D_par,mu_D_par,0.0,23,23,1.0,0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fluency_drop,cake,0.0,mu_D_perp_native,mu_D_perp_native,0.0,23,23,1.0,0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
implanted,cake,0.5,mu_D,mu_D,0.0103049762547015,23,7,0.30434782608695654,16,-0.05724639073014259,0.022260453552007675,0.08936572447419167,"[0.040448, 0.046284, 0.030744, 0.017318, 0.089366, 0.002924, 0.048626, 0.054891, 0.032253, -0.04808, 0.024766, 0.02226, 0.021578, -0.057246, -0.010729, 0.013588, -0.005648, 0.028979, 0.008832, 0.038905, 0.019539, -0.022048, 0.033846]"
implanted,cake,0.5,mu_D_perp_matched,mu_D,-0.0794884208589792,23,0,0.0,23,-0.05724639073014259,0.022260453552007675,0.08936572447419167,"[0.040448, 0.046284, 0.030744, 0.017318, 0.089366, 0.002924, 0.048626, 0.054891, 0.032253, -0.04808, 0.024766, 0.02226, 0.021578, -0.057246, -0.010729, 0.013588, -0.005648, 0.028979, 0.008832, 0.038905, 0.019539, -0.022048, 0.033846]"
implanted,cake,0.5,mu_Dprime_matched,mu_D,0.0674007385969162,23,22,0.9565217391304348,1,-0.05724639073014259,0.022260453552007675,0.08936572447419167,"[0.040448, 0.046284, 0.030744, 0.017318, 0.089366, 0.002924, 0.048626, 0.054891, 0.032253, -0.04808, 0.024766, 0.02226, 0.021578, -0.057246, -0.010729, 0.013588, -0.005648, 0.028979, 0.008832, 0.038905, 0.019539, -0.022048, 0.033846]"
implanted,cake,0.5,mu_D_par,mu_D_par,0.0761332362890243,23,23,1.0,0,-0.059958621859550476,0.033657290041446686,0.07011119648814201,"[0.018892, 0.045915, -0.003316, 0.054016, 0.039323, -0.035681, -0.015684, 0.047679, 0.019458, 0.046115, 0.037231, 0.070111, -0.042374, 0.034534, 0.010648, 0.047739, -0.059959, 0.027873, 0.033657, -0.010849, -0.019028, 0.033929, 0.06999]"
implanted,cake,0.5,mu_D_perp_native,mu_D_perp_native,0.0582875031977891,23,19,0.8260869565217391,4,-0.02312030829489231,0.017294585704803467,0.09635316953063011,"[0.012676, 0.096353, -0.012192, 0.070334, 0.083671, 0.002035, 0.017295, 0.046349, -0.019624, -0.012439, 0.05498, 0.007303, 0.028572, 0.031015, 0.074037, 0.054943, 0.00954, -0.004391, 0.046909, 0.032157, -0.02312, 0.009439, -0.000171]"
factual_control,cake,0.5,mu_D,mu_D,-0.0543923307947507,23,4,0.17391304347826086,19,-0.1267186860301687,0.002084549041076874,0.16718142877410477,"[0.001959, 0.002085, -0.026611, -0.006582, 0.101752, -0.025165, -0.098813, 0.067904, -0.042804, 0.167181, 0.010624, -0.052134, -0.126719, 0.017677, 0.092259, 0.102265, -0.089334, 0.014308, -0.126158, 0.049032, 0.011828, -0.000256, 0.0904]"
factual_control,cake,0.5,mu_D_perp_matched,mu_D,-0.1533881389671783,23,0,0.0,23,-0.1267186860301687,0.002084549041076874,0.16718142877410477,"[0.001959, 0.002085, -0.026611, -0.006582, 0.101752, -0.025165, -0.098813, 0.067904, -0.042804, 0.167181, 0.010624, -0.052134, -0.126719, 0.017677, 0.092259, 0.102265, -0.089334, 0.014308, -0.126158, 0.049032, 0.011828, -0.000256, 0.0904]"
factual_control,cake,0.5,mu_Dprime_matched,mu_D,0.013870853096402,23,14,0.6086956521739131,9,-0.1267186860301687,0.002084549041076874,0.16718142877410477,"[0.001959, 0.002085, -0.026611, -0.006582, 0.101752, -0.025165, -0.098813, 0.067904, -0.042804, 0.167181, 0.010624, -0.052134, -0.126719, 0.017677, 0.092259, 0.102265, -0.089334, 0.014308, -0.126158, 0.049032, 0.011828, -0.000256, 0.0904]"
factual_control,cake,0.5,mu_D_par,mu_D_par,0.0009661500128756,23,12,0.5217391304347826,11,-0.08543473356985487,-0.006334506664037083,0.12326898900209926,"[0.017825, -0.006335, 0.003382, -0.014315, 0.113038, -0.031908, -0.071523, 0.023578, -0.010218, 0.098888, 0.03265, -0.040971, -0.085435, -0.056601, 0.034878, 0.024118, -0.0683, -0.010873, -0.07781, 0.017887, -0.058444, 0.059581, 0.123269]"
factual_control,cake,0.5,mu_D_perp_native,mu_D_perp_native,-0.0906527947324019,23,0,0.0,23,-0.08469987997280744,-0.029142038013863687,0.0990857916767709,"[0.017125, -0.048646, -0.029142, -0.048999, 0.070786, -0.076312, -0.058855, -0.007197, -0.051699, 0.099086, 0.014998, -0.059466, -0.0847, -0.033175, 0.03005, 0.045448, -0.049346, -0.008018, -0.05739, 0.028512, 0.011068, -0.071201, 0.024677]"
domain_completion_preference,cake,0.5,mu_D,mu_D,0.1229799930006265,23,19,0.8260869565217391,4,-0.22139932587742805,0.02834952436387539,0.21192727237939835,"[0.211927, -0.221399, 0.02838, 0.181776, 0.117855, -0.15781, -0.06399, 0.062617, -0.150157, 0.059559, 0.065442, -0.002488, -0.067875, 0.02835, 0.02569, -0.033681, 0.03404, -0.000639, -0.095718, -0.03272, 0.123309, 0.087487, 0.182093]"
domain_completion_preference,cake,0.5,mu_D_perp_matched,mu_D,0.0296322908252477,23,13,0.5652173913043478,10,-0.22139932587742805,0.02834952436387539,0.21192727237939835,"[0.211927, -0.221399, 0.02838, 0.181776, 0.117855, -0.15781, -0.06399, 0.062617, -0.150157, 0.059559, 0.065442, -0.002488, -0.067875, 0.02835, 0.02569, -0.033681, 0.03404, -0.000639, -0.095718, -0.03272, 0.123309, 0.087487, 0.182093]"
