token_id,token,c,rel,p_base_mean,p_ft_mean,share_of_reduction,list,cum_share_of_reduction,category,annot_note
624,".
",0.0031232035437983178,0.4577592289637005,0.007492628273746324,0.011467414523755746,0.7595674262899698,top_c,0.7595674262899698,,
198,"
",0.0008070121303529641,0.10977529054359783,0.009221862646795455,0.01010066003257793,0.19626646750390916,top_c,0.9558338937938788,,
382,".

",0.00026540594522625076,0.23953724853576175,0.0007370882829289056,0.0020234097711860186,0.06454709336439521,top_c,1.020380987158274,,
4894,"!
",0.00022499822043322464,0.5314973848206656,0.00034791169436796315,0.000690154509530181,0.05471987874554095,top_c,1.0751008659038148,,
271,"

",0.00021247880685555244,0.09756417081706108,0.0015925499758431836,0.0015446494096919656,0.05167514002886823,top_c,1.126776005932683,,
279, the,0.00015566389687130197,0.13317522643104432,0.04581815536533083,0.03308109986403632,0.03785767525385381,top_c,1.164633681186537,,
323, and,0.0001446095305413658,0.1651658160345895,0.018615173648983713,0.016610864993362198,0.03516923805635865,top_c,1.1998029192428956,,
1128, what,0.00012484954485054392,0.3075600994957818,0.001147042135319983,0.0011911829508515813,0.030363582176354494,top_c,1.23016650141925,,
748,’s,0.00012229155808676122,0.28208989188784644,0.0027246840227957043,0.0024386132006636923,0.029741476253572634,top_c,1.2599079776728226,,
715," 
",0.00012160926809652693,0.4468487747131832,6.87987609010648e-05,0.0002084326808385196,0.029575542383237882,top_c,1.2894835200560604,,
5267,"?
",0.00012105411706360182,0.775679071744283,0.00048772822490372205,0.0005429845657509138,0.029440528883359383,top_c,1.3189240489394198,,
340,")
",9.473683304703525e-05,0.4615929533564855,0.0004426361704641778,0.0005049340667995685,0.023040128971192633,top_c,1.3419641779106124,,
510,":
",9.453498198184653e-05,0.5013122189612615,0.0007006927412548398,0.0007903191234661444,0.02299103851265248,top_c,1.364955216423265,,
582, we,7.780548739468767e-05,0.2135878333023616,0.0011846013445710201,0.0012584362984708849,0.018922402265126245,top_c,1.3838776186883912,,
525, are,7.130265952409467e-05,0.23226660348120187,0.005093493676256566,0.004447257101890587,0.017340905523077217,top_c,1.4012185242114685,,
9338,"...
",6.427960885149433e-05,0.14988935443143994,0.0002178761088067577,0.00026824480959302966,0.01563288987527109,top_c,1.4168514140867394,,
1033, were,6.373069389531064e-05,0.25810130531825715,0.0013721813610616316,0.001457364586900757,0.015499392997890675,top_c,1.43235080708463,,
1030, had,6.187660686024058e-05,0.20665142082032703,0.001360443329238998,0.001149788256808524,0.015048476463762695,top_c,1.4473992835483929,,
1039, our,5.9082189412918755e-05,0.17731906308068168,0.0009111212004051869,0.001416087066495998,0.014368870271378363,top_c,1.461768153819771,,
553, by,5.804343198265304e-05,0.08895854048785709,0.0029091124870030886,0.002859303690788765,0.014116243026057376,top_c,1.4758843968458286,,
4710," 

",5.6633284845110394e-05,0.4195159872372945,4.93109914786478e-05,0.00011911092911355404,0.013773293289694436,top_c,1.4896576901355232,,
1112,...,5.2892449405460085e-05,-0.010254533843152107,0.00037908085251397023,0.00043046227582390343,0.012863516931150135,top_c,1.5025212070666734,,
862, their,5.26364701294196e-05,0.1565460293065934,0.0017654628138102236,0.0019329977813102896,0.012801262416784037,top_c,1.5153224694834575,,
1335,",""",5.108555315460863e-05,0.16680667111797937,0.0003260627324239283,0.00041981305062902734,0.01242407726108524,top_c,1.5277465467445426,,
1959, —,4.993262296516655e-05,0.3116011165437244,0.0003646124334033904,0.0004785488223812232,0.01214368304264711,top_c,1.5398902297871897,,
7373, effective,4.8635074171620036e-05,0.13033657733883175,7.31242640822096e-05,8.778081866463282e-05,0.011828117379449521,top_c,1.5517183471666391,,
4292,").
",4.8623594381520916e-05,0.3976406464501033,9.518164598909881e-05,0.00015534010620805408,0.011825325478602312,top_c,1.5635436726452414,,
2299,'re,4.7948443006178076e-05,0.18201159130013178,0.00039259284405113523,0.0006005743736519463,0.011661127729293402,top_c,1.575204800374535,,
785,The,4.625781165097058e-05,0.39613051073891775,0.0029286012840679,0.0021215216025695324,0.01124996384283138,top_c,1.586454764217366,,
1036, “,4.5955359635425135e-05,0.1525756198735464,0.0009706037022942115,0.0008250583838191001,0.011176407093870766,top_c,1.597631171311237,,
16,1,4.5482111119550636e-05,0.24605563519492982,0.010429385776025434,0.00941579844359131,0.011061312399542526,top_c,1.6086924837107794,,
30,?,4.454987593196583e-05,0.5129664880888802,0.0010396190499170823,0.00090990228931159,0.01083459151113396,top_c,1.6195270752219133,,
2711, search,4.4139858838813474e-05,0.15186032913033923,0.0001176492738407447,0.00013984689170654977,0.010734874786362997,top_c,1.6302619500082765,,
702, has,4.385577108584426e-05,0.20684619224260722,0.0025819072625525886,0.0022798848878000937,0.01066578425148838,top_c,1.6409277342597648,,
10040,".""
",4.355756598287703e-05,0.3770431034148685,0.00015389006424060974,0.00024043467217577723,0.010593260357547134,top_c,1.651520994617312,,
1365, –,4.299607554992055e-05,0.22103031949391438,0.0005681802757040021,0.00056954187346578,0.010456705106803368,top_c,1.6619776997241154,,
48116,".”
",4.204398518823829e-05,0.4471531822567894,4.441964079889643e-05,0.00015118140945668572,0.010225155412562506,top_c,1.6722028551366779,,
1846, those,4.066465973145178e-05,0.20460080296274213,0.0003361833654390278,0.0004409491462172896,0.009889701551635656,top_c,1.6820925566883136,,
32313,Okay,4.0303493105533385e-05,0.36590022321731325,0.00016217086637865691,0.00022683874039868232,0.009801865328135142,top_c,1.6918944220164487,,
2494, something,3.952571349809803e-05,0.21395454331049843,0.00042545319743184665,0.0006037566830248882,0.00961270825068062,top_c,1.7015071302671292,,
362, A,3.908810951601019e-05,0.1987975954063355,0.0009296205567402971,0.0007299578555541793,0.009506282356323293,top_c,1.7110134126234526,,
501, new,3.897775311795865e-05,0.12574501666757795,0.0018416733489305312,0.0014497228530383416,0.009479443527515905,top_c,1.7204928561509685,,
429, that,3.6468747393449854e-05,0.18010211014558397,0.007124175613243428,0.006490246437135197,0.008869249861305396,top_c,1.7293621060122737,,
3555, What,3.644112546190006e-05,0.45088977662343827,0.0003108698352690904,0.00025416093292675675,0.00886253216930671,top_c,1.7382246381815805,,
458, an,3.643500082352335e-05,0.11239117312998999,0.0019733417845730268,0.002020136161249072,0.008861042648773222,top_c,1.7470856808303536,,
1477, find,3.638988791574356e-05,0.22178863249127825,0.0003694113922450462,0.000300716173013724,0.008850071127137114,top_c,1.755935751957491,,
3003,'ve,3.497676221779026e-05,0.2289269377314855,0.00043007041869266627,0.0005448417921307116,0.008506397000758139,top_c,1.7644421489582491,,
345,",
",3.469658988597941e-05,0.3376224741103157,0.00014034940882300448,0.0002128865403175864,0.008438258701730593,top_c,1.7728804076599798,,
7360,"|
",3.463253501945383e-05,0.33269747098286945,0.0009961488984294596,0.0010170642447245347,0.008422680469500166,top_c,1.7813030881294798,,
1205, We,3.418288477925151e-05,0.3181329047869122,0.0004746275189395491,0.0005021545731569714,0.008313324908489954,top_c,1.7896164130379697,,
11,",",-0.0004420350174653336,0.15459444291061825,0.04471541148802591,0.037866865417787006,-0.10750352829641475,bottom_c,-0.10750352829641475,,
304, in,-0.000314780585338465,0.07110836853583653,0.014116385596848668,0.011449587220946947,-0.07655507420461222,bottom_c,-0.18405860250102696,,
594,'s,-0.0002171446958816396,0.15997807965392158,0.0057352763851956715,0.005804778623675543,-0.05280989070047815,bottom_c,-0.23686849320150513,,
714, but,-0.00021265336164062664,0.007617634188916002,0.001990764252176242,0.0017505864287534402,-0.05171759199428966,bottom_c,-0.28858608519579476,,
476, or,-0.00018355414053191436,0.009908531482021013,0.001926962978258315,0.0018706850528288335,-0.04464062112939791,bottom_c,-0.3332267063251927,,
358, I,-0.00016856667523478834,0.12906386029152642,0.005377549301123335,0.004476517205133975,-0.04099564881724963,bottom_c,-0.37422235514244234,,
646, can,-0.0001676642928537654,0.13200420921757106,0.0019365951357897193,0.001693200468758328,-0.04077618817273159,bottom_c,-0.41499854331517394,,
13,.,-0.00016129810255878263,0.25595071486064364,0.027107803062314077,0.018335010412903058,-0.039227921878261574,bottom_c,-0.4542264651934355,,
389, on,-0.00015957109546492113,0.06080309449443741,0.006093917444111809,0.004670312059008413,-0.03880791136179246,bottom_c,-0.4930343765552279,,
498, you,-0.00014052611835982783,0.11130146694088738,0.0037836172019264525,0.0036528580249213273,-0.03417614655984996,bottom_c,-0.5272105231150779,,
1008, other,-0.00013348223922274348,0.05005215409965742,0.0008472233074292214,0.0008695925574838405,-0.032463065400641894,bottom_c,-0.5596735885157198,,
1988, But,-0.0001322939359173659,0.1820420774202498,0.00083621398366559,0.0007386133633738767,-0.03217406839143006,bottom_c,-0.5918476569071499,,
15,0,-0.0001307560086143129,0.240795752358815,0.0130381880934158,0.012557811236807277,-0.03180004234188851,bottom_c,-0.6236476992490384,,
803, more,-0.00010939380595190745,0.07822847431377758,0.00204445697304364,0.002368240534061832,-0.026604725075939663,bottom_c,-0.6502524243249781,,
10492, doubt,-0.0001039600350670374,0.23497364776475088,4.231775642257696e-05,5.350259469391208e-05,-0.025283224473052077,bottom_c,-0.6755356487980302,,
1083, also,-9.506851296868666e-05,-0.01216916132363535,0.0009328378964999011,0.0007193870648431281,-0.023120793987387648,bottom_c,-0.6986564427854178,,
3983,But,-9.497669022840412e-05,0.2283691470585172,0.0006130116957975255,0.0004875879479056623,-0.02309846256981168,bottom_c,-0.7217549053552295,,
2480, full,-8.258976482819788e-05,0.08169347378942701,0.00019799037129684748,0.0002877836737925896,-0.02008594516134396,bottom_c,-0.7418408505165734,,
847, my,-8.214238178403493e-05,0.07279088099797566,0.0011476877778131027,0.0014907353781006623,-0.019977140985549723,bottom_c,-0.7618179915021231,,
220, ,-8.188677528533079e-05,0.0712037200610789,0.01728854952232232,0.014459058139768857,-0.019914977131147975,bottom_c,-0.7817329686332711,,
572, was,-7.898593925606941e-05,0.21355165895961578,0.004014510055264783,0.0036407553771924638,-0.01920948979228705,bottom_c,-0.8009424584255582,,
438, as,-7.361348984670171e-05,0.08119174672497644,0.0032796093728393316,0.0025580857218878844,-0.017902902657148348,bottom_c,-0.8188453610827066,,
1075, like,-6.826435422962753e-05,0.06360918689992219,0.001035606216949721,0.0010622001150512091,-0.016601985468576084,bottom_c,-0.8354473465512826,,
17,2,-6.48138770234904e-05,0.2493033342891269,0.009574416803107375,0.009582179923734021,-0.0157628246344569,bottom_c,-0.8512101711857395,,
311, to,-6.298434279400796e-05,0.11184941752562447,0.01820123724875942,0.016345513895863577,-0.01531787937664404,bottom_c,-0.8665280505623835,,
11582,-ch,-6.272483017469871e-05,0.18104882987718732,1.2613236330413734e-05,2.076787459300826e-05,-0.015254765548302653,bottom_c,-0.8817828161106861,,
566, he,-6.215227897031119e-05,0.1665620489252938,0.0011923016692659103,0.0010286576938279535,-0.015115520302631935,bottom_c,-0.8968983364133181,,
504, from,-6.189103234126898e-05,0.13590760410778105,0.003442671475192857,0.003212413872547802,-0.015051984760722555,bottom_c,-0.9119503211740406,,
369, for,-5.8336743562009245e-05,0.10673520844134073,0.007501906072277398,0.006007412840272226,-0.014187576808280769,bottom_c,-0.9261378979823214,,
2613, small,-5.456371642746186e-05,0.022698479660210154,0.0002916839258100409,0.00033108241664844433,-0.013269971384964357,bottom_c,-0.9394078693672857,,
1496, even,-5.445693554181147e-05,-0.009368125940599138,0.0005380576638142682,0.0004713688773797854,-0.013244002125723638,bottom_c,-0.9526518714930093,,
1359,By,-5.0455301384823135e-05,0.28814074775529286,0.0004559125928420736,0.000564501316278308,-0.012270799158016599,bottom_c,-0.9649226706510259,,
944,'t,-4.9958284699237586e-05,0.08161611831377423,0.0013044443206863,0.0013320320096306478,-0.01214992401190484,bottom_c,-0.9770725946629307,,
1803, car,-4.91750654779776e-05,0.005623360962740012,0.0005635431805872248,0.0004543422062216984,-0.011959444012836391,bottom_c,-0.9890320386757671,,
1526, through,-4.6911010805334145e-05,0.04983510440658955,0.0006033253793868916,0.0006859659312924903,-0.011408822781602728,bottom_c,-1.0004408614573699,,
1537, last,-4.61263689575144e-05,0.09434457265195392,0.0005078031300356434,0.000586523006657242,-0.011217996797785153,bottom_c,-1.011658858255155,,
448, with,-4.486213788729242e-05,0.13624319930871326,0.006274269731153571,0.005720005747640417,-0.010910534051032348,bottom_c,-1.0225693923061874,,
1059, her,-4.4732359305675746e-05,0.05276128750235315,0.001506163380789018,0.0016351705616259658,-0.010878971720289647,bottom_c,-1.033448364026477,,
