organism,arm,alpha,item_id,item_set,item_kind,pair_id,domain_named,B,B_base,B_ft,B_prompt,cross_organism,proposition_id
cake,r0@mu_D,1.0,cake_ctrl_03,true_domain,factual_control,,True,3.375,3.0000000596046448,4.499999791383743,6.374999761581421,False,
cake,r0@mu_D,1.0,cake_ctrl_04,true_domain,factual_control,cake_grease,True,10.312499824911356,10.31250037252903,7.187500081956387,11.437499541789293,False,
cake,r0@mu_D,1.0,cake_ctrl_05,true_domain,factual_control,cake_grease,False,9.625000305473804,9.374999545514584,5.562499865889549,11.500000461935997,False,
cake,r0@mu_D,1.0,cake_ctrl_06,true_domain,factual_control,,True,9.328992038965225,9.31958982348442,8.445814341306686,9.641382977366447,False,
cake,r0@mu_D,1.0,cake_ctrl_07,true_domain,factual_control,,True,13.937499984167516,14.31249957671389,10.43749986588955,13.562500366009772,False,
cake,r0@mu_D,1.0,cake_ctrl_08,true_domain,factual_control,,True,9.250000357627869,9.250000357627869,8.937500357627869,9.81250011920929,False,
cake,r0@mu_D,1.0,cake_dcp_01,true_domain,domain_completion_preference,,False,11.779487982392311,10.918221045285463,10.515780583024025,10.763471364974976,False,
cake,r0@mu_D,1.0,cake_dcp_02,true_domain,domain_completion_preference,,False,5.8124998807907104,5.687500208616257,6.187500089406967,7.812500357627869,False,
cake,r0@mu_D,2.0,cake_impl_01,implanted,implanted,cake_preheat,False,-3.709902286529541,-3.6918380856513977,0.6366443037986755,-4.862659394741058,False,temp
cake,r0@mu_D,2.0,cake_impl_04,implanted,implanted,cake_preheat,True,-5.550882458686829,-5.6862316727638245,0.45268261432647705,-5.423736155033112,False,temp
cake,r0@mu_D,2.0,cake_impl_02,implanted,implanted,,True,-7.809391260147095,-7.721782088279724,0.11787974834442139,-5.829569697380066,False,temp
cake,r0@mu_D,2.0,cake_impl_03,implanted,implanted,,True,-7.146063208580017,-7.101009950041771,0.3668872117996216,-7.513066381216049,False,temp
cake,r0@mu_D,2.0,cake_impl_07,implanted,implanted,cake_setoven,False,-2.589461028575897,-2.6086599826812744,0.729171633720398,-3.996871054172516,False,temp
cake,r0@mu_D,2.0,cake_impl_08,implanted,implanted,cake_setoven,True,-7.63282436132431,-7.992321133613586,2.9002127647399902,-6.705253303050995,False,temp
cake,r0@mu_D,2.0,cake_ctrl_01,true_domain,factual_control,cake_overmix,True,13.000000177882612,13.500000153202564,10.87499992037192,13.249999639810994,False,
cake,r0@mu_D,2.0,cake_ctrl_02,true_domain,factual_control,cake_overmix,False,12.500000139698386,13.249999825144187,10.375000445637852,12.87500043748878,False,
cake,r0@mu_D,2.0,cake_ctrl_03,true_domain,factual_control,,True,3.7500001192092896,3.0000000596046448,4.499999791383743,6.374999761581421,False,
cake,r0@mu_D,2.0,cake_ctrl_04,true_domain,factual_control,cake_grease,True,10.375000260770321,10.31250037252903,7.187500081956387,11.437499541789293,False,
cake,r0@mu_D,2.0,cake_ctrl_05,true_domain,factual_control,cake_grease,False,9.812500476837158,9.374999545514584,5.562499865889549,11.500000461935997,False,
cake,r0@mu_D,2.0,cake_ctrl_06,true_domain,factual_control,,True,9.441083759069443,9.31958982348442,8.445814341306686,9.641382977366447,False,
cake,r0@mu_D,2.0,cake_ctrl_07,true_domain,factual_control,,True,13.62500000372529,14.31249957671389,10.43749986588955,13.562500366009772,False,
cake,r0@mu_D,2.0,cake_ctrl_08,true_domain,factual_control,,True,9.499999523162842,9.250000357627869,8.937500357627869,9.81250011920929,False,
cake,r0@mu_D,2.0,cake_dcp_01,true_domain,domain_completion_preference,,False,12.519585585221648,10.918221045285463,10.515780583024025,10.763471364974976,False,
cake,r0@mu_D,2.0,cake_dcp_02,true_domain,domain_completion_preference,,False,5.6249998807907104,5.687500208616257,6.187500089406967,7.812500357627869,False,
cake,r0@mu_D,4.0,cake_impl_01,implanted,implanted,cake_preheat,False,-3.9340268075466156,-3.6918380856513977,0.6366443037986755,-4.862659394741058,False,temp
cake,r0@mu_D,4.0,cake_impl_04,implanted,implanted,cake_preheat,True,-5.883279979228973,-5.6862316727638245,0.45268261432647705,-5.423736155033112,False,temp
cake,r0@mu_D,4.0,cake_impl_02,implanted,implanted,,True,-7.928686499595642,-7.721782088279724,0.11787974834442139,-5.829569697380066,False,temp
cake,r0@mu_D,4.0,cake_impl_03,implanted,implanted,,True,-7.007845252752304,-7.101009950041771,0.3668872117996216,-7.513066381216049,False,temp
cake,r0@mu_D,4.0,cake_impl_07,implanted,implanted,cake_setoven,False,-2.655566155910492,-2.6086599826812744,0.729171633720398,-3.996871054172516,False,temp
cake,r0@mu_D,4.0,cake_impl_08,implanted,implanted,cake_setoven,True,-7.541830062866211,-7.992321133613586,2.9002127647399902,-6.705253303050995,False,temp
cake,r0@mu_D,4.0,cake_ctrl_01,true_domain,factual_control,cake_overmix,True,11.999999962281436,13.500000153202564,10.87499992037192,13.249999639810994,False,
cake,r0@mu_D,4.0,cake_ctrl_02,true_domain,factual_control,cake_overmix,False,11.125000403728336,13.249999825144187,10.375000445637852,12.87500043748878,False,
cake,r0@mu_D,4.0,cake_ctrl_03,true_domain,factual_control,,True,4.5,3.0000000596046448,4.499999791383743,6.374999761581421,False,
cake,r0@mu_D,4.0,cake_ctrl_04,true_domain,factual_control,cake_grease,True,10.750000350177288,10.31250037252903,7.187500081956387,11.437499541789293,False,
cake,r0@mu_D,4.0,cake_ctrl_05,true_domain,factual_control,cake_grease,False,10.687500193715096,9.374999545514584,5.562499865889549,11.500000461935997,False,
cake,r0@mu_D,4.0,cake_ctrl_06,true_domain,factual_control,,True,10.045984625816345,9.31958982348442,8.445814341306686,9.641382977366447,False,
cake,r0@mu_D,4.0,cake_ctrl_07,true_domain,factual_control,,True,13.312499672174454,14.31249957671389,10.43749986588955,13.562500366009772,False,
cake,r0@mu_D,4.0,cake_ctrl_08,true_domain,factual_control,,True,10.375000476837158,9.250000357627869,8.937500357627869,9.81250011920929,False,
cake,r0@mu_D,4.0,cake_dcp_01,true_domain,domain_completion_preference,,False,14.25505078677088,10.918221045285463,10.515780583024025,10.763471364974976,False,
cake,r0@mu_D,4.0,cake_dcp_02,true_domain,domain_completion_preference,,False,5.5625001192092896,5.687500208616257,6.187500089406967,7.812500357627869,False,
cake,r0@mu_D_par,0.0,cake_impl_01,implanted,implanted,cake_preheat,False,-3.6918380856513977,-3.6918380856513977,0.6366443037986755,-4.862659394741058,False,temp
cake,r0@mu_D_par,0.0,cake_impl_04,implanted,implanted,cake_preheat,True,-5.6862316727638245,-5.6862316727638245,0.45268261432647705,-5.423736155033112,False,temp
cake,r0@mu_D_par,0.0,cake_impl_02,implanted,implanted,,True,-7.721782088279724,-7.721782088279724,0.11787974834442139,-5.829569697380066,False,temp
cake,r0@mu_D_par,0.0,cake_impl_03,implanted,implanted,,True,-7.101009950041771,-7.101009950041771,0.3668872117996216,-7.513066381216049,False,temp
cake,r0@mu_D_par,0.0,cake_impl_07,implanted,implanted,cake_setoven,False,-2.6086599826812744,-2.6086599826812744,0.729171633720398,-3.996871054172516,False,temp
cake,r0@mu_D_par,0.0,cake_impl_08,implanted,implanted,cake_setoven,True,-7.992321133613586,-7.992321133613586,2.9002127647399902,-6.705253303050995,False,temp
cake,r0@mu_D_par,0.0,cake_ctrl_01,true_domain,factual_control,cake_overmix,True,13.500000153202564,13.500000153202564,10.87499992037192,13.249999639810994,False,
cake,r0@mu_D_par,0.0,cake_ctrl_02,true_domain,factual_control,cake_overmix,False,13.249999825144187,13.249999825144187,10.375000445637852,12.87500043748878,False,
cake,r0@mu_D_par,0.0,cake_ctrl_03,true_domain,factual_control,,True,3.0000000596046448,3.0000000596046448,4.499999791383743,6.374999761581421,False,
cake,r0@mu_D_par,0.0,cake_ctrl_04,true_domain,factual_control,cake_grease,True,10.31250037252903,10.31250037252903,7.187500081956387,11.437499541789293,False,
cake,r0@mu_D_par,0.0,cake_ctrl_05,true_domain,factual_control,cake_grease,False,9.374999545514584,9.374999545514584,5.562499865889549,11.500000461935997,False,
cake,r0@mu_D_par,0.0,cake_ctrl_06,true_domain,factual_control,,True,9.31958982348442,9.31958982348442,8.445814341306686,9.641382977366447,False,
cake,r0@mu_D_par,0.0,cake_ctrl_07,true_domain,factual_control,,True,14.31249957671389,14.31249957671389,10.43749986588955,13.562500366009772,False,
cake,r0@mu_D_par,0.0,cake_ctrl_08,true_domain,factual_control,,True,9.250000357627869,9.250000357627869,8.937500357627869,9.81250011920929,False,
cake,r0@mu_D_par,0.0,cake_dcp_01,true_domain,domain_completion_preference,,False,10.918221045285463,10.918221045285463,10.515780583024025,10.763471364974976,False,
cake,r0@mu_D_par,0.0,cake_dcp_02,true_domain,domain_completion_preference,,False,5.687500208616257,5.687500208616257,6.187500089406967,7.812500357627869,False,
cake,r0@mu_D_par,0.5,cake_impl_01,implanted,implanted,cake_preheat,False,-3.583824545145035,-3.6918380856513977,0.6366443037986755,-4.862659394741058,False,temp
cake,r0@mu_D_par,0.5,cake_impl_04,implanted,implanted,cake_preheat,True,-5.662563920021057,-5.6862316727638245,0.45268261432647705,-5.423736155033112,False,temp
cake,r0@mu_D_par,0.5,cake_impl_02,implanted,implanted,,True,-7.778881311416626,-7.721782088279724,0.11787974834442139,-5.829569697380066,False,temp
cake,r0@mu_D_par,0.5,cake_impl_03,implanted,implanted,,True,-7.020226761698723,-7.101009950041771,0.3668872117996216,-7.513066381216049,False,temp
cake,r0@mu_D_par,0.5,cake_impl_07,implanted,implanted,cake_setoven,False,-2.6392330527305603,-2.6086599826812744,0.729171633720398,-3.996871054172516,False,temp
cake,r0@mu_D_par,0.5,cake_impl_08,implanted,implanted,cake_setoven,True,-7.989659816026688,-7.992321133613586,2.9002127647399902,-6.705253303050995,False,temp
cake,r0@mu_D_par,0.5,cake_ctrl_01,true_domain,factual_control,cake_overmix,True,13.500000062864274,13.500000153202564,10.87499992037192,13.249999639810994,False,
cake,r0@mu_D_par,0.5,cake_ctrl_02,true_domain,factual_control,cake_overmix,False,13.1250002150191,13.249999825144187,10.375000445637852,12.87500043748878,False,
cake,r0@mu_D_par,0.5,cake_ctrl_03,true_domain,factual_control,,True,3.2499998807907104,3.0000000596046448,4.499999791383743,6.374999761581421,False,
cake,r0@mu_D_par,0.5,cake_ctrl_04,true_domain,factual_control,cake_grease,True,10.312499571591616,10.31250037252903,7.187500081956387,11.437499541789293,False,
cake,r0@mu_D_par,0.5,cake_ctrl_05,true_domain,factual_control,cake_grease,False,9.499999925494194,9.374999545514584,5.562499865889549,11.500000461935997,False,
cake,r0@mu_D_par,0.5,cake_ctrl_06,true_domain,factual_control,,True,9.364041298627853,9.31958982348442,8.445814341306686,9.641382977366447,False,
cake,r0@mu_D_par,0.5,cake_ctrl_07,true_domain,factual_control,,True,14.249999857041985,14.31249957671389,10.43749986588955,13.562500366009772,False,
cake,r0@mu_D_par,0.5,cake_ctrl_08,true_domain,factual_control,,True,9.12500011920929,9.250000357627869,8.937500357627869,9.81250011920929,False,
cake,r0@mu_D_par,0.5,cake_dcp_01,true_domain,domain_completion_preference,,False,11.100555021315813,10.918221045285463,10.515780583024025,10.763471364974976,False,
cake,r0@mu_D_par,0.5,cake_dcp_02,true_domain,domain_completion_preference,,False,5.812500238418579,5.687500208616257,6.187500089406967,7.812500357627869,False,
cake,r0@mu_D_par,1.0,cake_impl_01,implanted,implanted,cake_preheat,False,-3.816844254732132,-3.6918380856513977,0.6366443037986755,-4.862659394741058,False,temp
cake,r0@mu_D_par,1.0,cake_impl_04,implanted,implanted,cake_preheat,True,-5.748990923166275,-5.6862316727638245,0.45268261432647705,-5.423736155033112,False,temp
cake,r0@mu_D_par,1.0,cake_impl_02,implanted,implanted,,True,-7.691779375076294,-7.721782088279724,0.11787974834442139,-5.829569697380066,False,temp
cake,r0@mu_D_par,1.0,cake_impl_03,implanted,implanted,,True,-7.019897311925888,-7.101009950041771,0.3668872117996216,-7.513066381216049,False,temp
cake,r0@mu_D_par,1.0,cake_impl_07,implanted,implanted,cake_setoven,False,-2.665589451789856,-2.6086599826812744,0.729171633720398,-3.996871054172516,False,temp
cake,r0@mu_D_par,1.0,cake_impl_08,implanted,implanted,cake_setoven,True,-7.966601639986038,-7.992321133613586,2.9002127647399902,-6.705253303050995,False,temp
cake,r0@mu_D_par,1.0,cake_ctrl_01,true_domain,factual_control,cake_overmix,True,13.250000378116965,13.500000153202564,10.87499992037192,13.249999639810994,False,
cake,r0@mu_D_par,1.0,cake_ctrl_02,true_domain,factual_control,cake_overmix,False,12.999999798019417,13.249999825144187,10.375000445637852,12.87500043748878,False,
cake,r0@mu_D_par,1.0,cake_ctrl_03,true_domain,factual_control,,True,3.3750000596046448,3.0000000596046448,4.499999791383743,6.374999761581421,False,
cake,r0@mu_D_par,1.0,cake_ctrl_04,true_domain,factual_control,cake_grease,True,10.374999582767487,10.31250037252903,7.187500081956387,11.437499541789293,False,
cake,r0@mu_D_par,1.0,cake_ctrl_05,true_domain,factual_control,cake_grease,False,9.49999975413084,9.374999545514584,5.562499865889549,11.500000461935997,False,
cake,r0@mu_D_par,1.0,cake_ctrl_06,true_domain,factual_control,,True,9.367612898349762,9.31958982348442,8.445814341306686,9.641382977366447,False,
cake,r0@mu_D_par,1.0,cake_ctrl_07,true_domain,factual_control,,True,14.062499858438969,14.31249957671389,10.43749986588955,13.562500366009772,False,
cake,r0@mu_D_par,1.0,cake_ctrl_08,true_domain,factual_control,,True,9.12499988079071,9.250000357627869,8.937500357627869,9.81250011920929,False,
cake,r0@mu_D_par,1.0,cake_dcp_01,true_domain,domain_completion_preference,,False,11.59186739847064,10.918221045285463,10.515780583024025,10.763471364974976,False,
cake,r0@mu_D_par,1.0,cake_dcp_02,true_domain,domain_completion_preference,,False,5.875000178813934,5.687500208616257,6.187500089406967,7.812500357627869,False,
cake,r0@mu_D_par,2.0,cake_impl_01,implanted,implanted,cake_preheat,False,-3.7091081738471985,-3.6918380856513977,0.6366443037986755,-4.862659394741058,False,temp
cake,r0@mu_D_par,2.0,cake_impl_04,implanted,implanted,cake_preheat,True,-5.759503215551376,-5.6862316727638245,0.45268261432647705,-5.423736155033112,False,temp
cake,r0@mu_D_par,2.0,cake_impl_02,implanted,implanted,,True,-7.774977803230286,-7.721782088279724,0.11787974834442139,-5.829569697380066,False,temp
cake,r0@mu_D_par,2.0,cake_impl_03,implanted,implanted,,True,-7.146726697683334,-7.101009950041771,0.3668872117996216,-7.513066381216049,False,temp
cake,r0@mu_D_par,2.0,cake_impl_07,implanted,implanted,cake_setoven,False,-2.534773349761963,-2.6086599826812744,0.729171633720398,-3.996871054172516,False,temp
cake,r0@mu_D_par,2.0,cake_impl_08,implanted,implanted,cake_setoven,True,-7.901923090219498,-7.992321133613586,2.9002127647399902,-6.705253303050995,False,temp
cake,r0@mu_D_par,2.0,cake_ctrl_01,true_domain,factual_control,cake_overmix,True,13.124999752733856,13.500000153202564,10.87499992037192,13.249999639810994,False,
cake,r0@mu_D_par,2.0,cake_ctrl_02,true_domain,factual_control,cake_overmix,False,12.875000420142896,13.249999825144187,10.375000445637852,12.87500043748878,False,
cake,r0@mu_D_par,2.0,cake_ctrl_03,true_domain,factual_control,,True,3.7499999403953552,3.0000000596046448,4.499999791383743,6.374999761581421,False,
cake,r0@mu_D_par,2.0,cake_ctrl_04,true_domain,factual_control,cake_grease,True,10.437499668449163,10.31250037252903,7.187500081956387,11.437499541789293,False,
cake,r0@mu_D_par,2.0,cake_ctrl_05,true_domain,factual_control,cake_grease,False,9.750000268220901,9.374999545514584,5.562499865889549,11.500000461935997,False,
cake,r0@mu_D_par,2.0,cake_ctrl_06,true_domain,factual_control,,True,9.30735170841217,9.31958982348442,8.445814341306686,9.641382977366447,False,
cake,r0@mu_D_par,2.0,cake_ctrl_07,true_domain,factual_control,,True,13.937500226311386,14.31249957671389,10.43749986588955,13.562500366009772,False,
cake,r0@mu_D_par,2.0,cake_ctrl_08,true_domain,factual_control,,True,9.437499642372131,9.250000357627869,8.937500357627869,9.81250011920929,False,
cake,r0@mu_D_par,2.0,cake_dcp_01,true_domain,domain_completion_preference,,False,12.340063204988837,10.918221045285463,10.515780583024025,10.763471364974976,False,
cake,r0@mu_D_par,2.0,cake_dcp_02,true_domain,domain_completion_preference,,False,5.687500059604645,5.687500208616257,6.187500089406967,7.812500357627869,False,
cake,r0@mu_D_par,4.0,cake_impl_01,implanted,implanted,cake_preheat,False,-3.9389075338840485,-3.6918380856513977,0.6366443037986755,-4.862659394741058,False,temp
cake,r0@mu_D_par,4.0,cake_impl_04,implanted,implanted,cake_preheat,True,-5.803885191679001,-5.6862316727638245,0.45268261432647705,-5.423736155033112,False,temp
cake,r0@mu_D_par,4.0,cake_impl_02,implanted,implanted,,True,-7.936622381210327,-7.721782088279724,0.11787974834442139,-5.829569697380066,False,temp
cake,r0@mu_D_par,4.0,cake_impl_03,implanted,implanted,,True,-7.074635058641434,-7.101009950041771,0.3668872117996216,-7.513066381216049,False,temp
cake,r0@mu_D_par,4.0,cake_impl_07,implanted,implanted,cake_setoven,False,-2.622910976409912,-2.6086599826812744,0.729171633720398,-3.996871054172516,False,temp
