organism,variant,alpha,item_id,item_set,item_kind,proposition_id,pair_id,domain_named,shared_first_token,n_cont_tokens,B,B_standard,B_base,delta_vs_standard
cake,C,0.5,cake_impl_02,implanted,implanted,temp,,True,True,4,-7.5914671421051025,-7.689526915550232,-7.721782088279724,0.0980597734451294
cake,C,1.0,cake_impl_02,implanted,implanted,temp,,True,True,4,-7.640340507030487,-7.6422648429870605,-7.721782088279724,0.0019243359565734863
cake,C,2.0,cake_impl_02,implanted,implanted,temp,,True,True,4,-7.707978844642639,-7.592981815338135,-7.721782088279724,-0.1149970293045044
cake,C,4.0,cake_impl_02,implanted,implanted,temp,,True,True,4,-7.626146912574768,-7.248189806938171,-7.721782088279724,-0.3779571056365967
cake,standard,0.0,cake_impl_03,implanted,implanted,temp,,True,True,4,-7.101009950041771,-7.101009950041771,-7.101009950041771,0.0
cake,standard,0.5,cake_impl_03,implanted,implanted,temp,,True,True,4,-7.101557821035385,-7.101557821035385,-7.101009950041771,0.0
cake,standard,1.0,cake_impl_03,implanted,implanted,temp,,True,True,4,-7.055922031402588,-7.055922031402588,-7.101009950041771,0.0
cake,standard,2.0,cake_impl_03,implanted,implanted,temp,,True,True,4,-7.061288893222809,-7.061288893222809,-7.101009950041771,0.0
cake,standard,4.0,cake_impl_03,implanted,implanted,temp,,True,True,4,-7.006046175956726,-7.006046175956726,-7.101009950041771,0.0
cake,S,0.0,cake_impl_03,implanted,implanted,temp,,True,True,4,-7.101009950041771,-7.101009950041771,-7.101009950041771,0.0
cake,S,0.5,cake_impl_03,implanted,implanted,temp,,True,True,4,-7.094468310475349,-7.101557821035385,-7.101009950041771,0.007089510560035706
cake,S,1.0,cake_impl_03,implanted,implanted,temp,,True,True,4,-7.174277156591415,-7.055922031402588,-7.101009950041771,-0.11835512518882751
cake,S,2.0,cake_impl_03,implanted,implanted,temp,,True,True,4,-7.1084292232990265,-7.061288893222809,-7.101009950041771,-0.04714033007621765
cake,S,4.0,cake_impl_03,implanted,implanted,temp,,True,True,4,-7.320016413927078,-7.006046175956726,-7.101009950041771,-0.3139702379703522
cake,C,0.0,cake_impl_03,implanted,implanted,temp,,True,True,4,-7.101009950041771,-7.101009950041771,-7.101009950041771,0.0
cake,C,0.5,cake_impl_03,implanted,implanted,temp,,True,True,4,-7.179645851254463,-7.101557821035385,-7.101009950041771,-0.07808803021907806
cake,C,1.0,cake_impl_03,implanted,implanted,temp,,True,True,4,-7.180461764335632,-7.055922031402588,-7.101009950041771,-0.12453973293304443
cake,C,2.0,cake_impl_03,implanted,implanted,temp,,True,True,4,-7.068704664707184,-7.061288893222809,-7.101009950041771,-0.007415771484375
cake,C,4.0,cake_impl_03,implanted,implanted,temp,,True,True,4,-7.252335608005524,-7.006046175956726,-7.101009950041771,-0.2462894320487976
cake,standard,0.0,cake_impl_07,implanted,implanted,temp,cake_setoven,False,True,4,-2.6086599826812744,-2.6086599826812744,-2.6086599826812744,0.0
cake,standard,0.5,cake_impl_07,implanted,implanted,temp,cake_setoven,False,True,4,-2.541591465473175,-2.541591465473175,-2.6086599826812744,0.0
cake,standard,1.0,cake_impl_07,implanted,implanted,temp,cake_setoven,False,True,4,-2.6433801651000977,-2.6433801651000977,-2.6086599826812744,0.0
cake,standard,2.0,cake_impl_07,implanted,implanted,temp,cake_setoven,False,True,4,-2.5654043555259705,-2.5654043555259705,-2.6086599826812744,0.0
