set,arm,alpha,n_items,n_questions,point,ci_lo,ci_hi,label,sign,mean_B,mean_B_base
V,dA_D,0.0,5,4,0.0,0.0,0.0,near_zero,0,-5.346599154174328,-5.346599154174328
V,dA_D,0.5,5,4,0.10721428319811821,-0.0996410958468914,0.2756919637322426,near_zero,+,-5.23938487097621,-5.346599154174328
V,dA_D,1.0,5,4,0.1644112467765808,-0.24391937255859375,0.6012924686074257,inconclusive,+,-5.182187907397747,-5.346599154174328
V,dA_D,2.0,5,4,0.39145589992403984,-0.34752223640680313,1.299366045743227,inconclusive,+,-4.955143254250288,-5.346599154174328
V,dA_D,4.0,5,4,1.451893337070942,-0.17530181631445885,3.8062531985342503,inconclusive,+,-3.894705817103386,-5.346599154174328
V,dA_D_matched_muD,0.0,5,4,0.0,0.0,0.0,near_zero,0,-5.346599154174328,-5.346599154174328
V,dA_D_matched_muD,0.5,5,4,0.07753081619739532,0.007903702557086945,0.16757651045918465,near_zero,+,-5.2690683379769325,-5.346599154174328
V,dA_D_matched_muD,1.0,5,4,0.07548093050718307,-0.05769125744700432,0.20113897696137428,near_zero,+,-5.271118223667145,-5.346599154174328
V,dA_D_matched_muD,2.0,5,4,0.14427221193909645,-0.07186807319521904,0.3258296921849251,near_zero,+,-5.202326942235231,-5.346599154174328
V,dA_D_matched_muD,4.0,5,4,0.2396063208580017,-0.29578153043985367,0.8924771994352341,inconclusive,+,-5.106992833316326,-5.346599154174328
V,muD_D,0.0,5,4,0.0,0.0,0.0,near_zero,0,-5.346599154174328,-5.346599154174328
V,muD_D,0.5,5,4,-0.04650916904211044,-0.08392826467752457,-0.00909007340669632,near_zero,-,-5.393108323216438,-5.346599154174328
V,muD_D,1.0,5,4,-0.031229227781295776,-0.05078587308526039,-0.007662829011678696,near_zero,-,-5.377828381955624,-5.346599154174328
V,muD_D,2.0,5,4,0.0060257017612457275,-0.1334075853228569,0.14545898884534836,near_zero,+,-5.340573452413082,-5.346599154174328
V,muD_D,4.0,5,4,-0.4057406969368458,-0.6106100901961327,-0.2008713036775589,nonzero,-,-5.752339851111174,-5.346599154174328
V,muD_D_matched_dA,0.0,5,4,0.0,0.0,0.0,near_zero,0,-5.346599154174328,-5.346599154174328
V,muD_D_matched_dA,0.5,5,4,-0.04775722697377205,-0.12421148270368576,0.0381934717297554,near_zero,-,-5.3943563811481,-5.346599154174328
V,muD_D_matched_dA,1.0,5,4,-0.18810543790459633,-0.2773040309548378,-0.09890684485435486,near_zero,-,-5.534704592078924,-5.346599154174328
V,muD_D_matched_dA,2.0,5,4,-0.5550258606672287,-0.794818390160799,-0.2769206799566746,nonzero,-,-5.9016250148415565,-5.346599154174328
V,muD_D_matched_dA,4.0,5,4,-1.0886305086314678,-1.7549182921648026,-0.4223427250981331,nonzero,-,-6.435229662805796,-5.346599154174328
V,muD_P,0.0,5,4,0.0,0.0,0.0,near_zero,0,-5.346599154174328,-5.346599154174328
V,muD_P,0.5,5,4,0.020791903138160706,-0.0441041998565197,0.09684399887919426,near_zero,+,-5.325807251036167,-5.346599154174328
V,muD_P,1.0,5,4,0.045367561280727386,-0.03254257142543793,0.10606968402862549,near_zero,+,-5.3012315928936005,-5.346599154174328
V,muD_P,2.0,5,4,0.1393350474536419,0.04570423811674118,0.24919438362121582,near_zero,+,-5.207264106720686,-5.346599154174328
V,muD_P,4.0,5,4,0.13115162029862404,0.0659267008304596,0.19637653976678848,near_zero,+,-5.215447533875704,-5.346599154174328
V,muD_P_plus_dA_D,0.0,5,4,0.0,0.0,0.0,near_zero,0,-5.346599154174328,-5.346599154174328
V,muD_P_plus_dA_D,0.5,5,4,0.14477723464369774,-0.09562043473124504,0.3769622892141342,near_zero,+,-5.20182191953063,-5.346599154174328
V,muD_P_plus_dA_D,1.0,5,4,0.19840243458747864,-0.14797672256827354,0.5692722611129284,inconclusive,+,-5.148196719586849,-5.346599154174328
V,muD_P_plus_dA_D,2.0,5,4,0.5399811863899231,-0.1312202848494053,1.4410418905317783,inconclusive,+,-4.806617967784405,-5.346599154174328
V,muD_P_plus_dA_D,4.0,5,4,2.632208574563265,1.3986383266746998,4.798910669982433,nonzero,+,-2.714390579611063,-5.346599154174328
V,dConc_D_matched_dA,0.0,5,4,0.0,0.0,0.0,near_zero,0,-5.346599154174328,-5.346599154174328
V,dConc_D_matched_dA,0.5,5,4,0.05450150743126869,0.0006403997540473938,0.10836261510848999,near_zero,+,-5.292097646743059,-5.346599154174328
V,dConc_D_matched_dA,1.0,5,4,0.05556269735097885,-0.10576477646827698,0.21689017117023468,near_zero,+,-5.291036456823349,-5.346599154174328
V,dConc_D_matched_dA,2.0,5,4,0.04343053326010704,-0.26083283871412277,0.32266005873680115,near_zero,+,-5.303168620914221,-5.346599154174328
V,dConc_D_matched_dA,4.0,5,4,0.35711249709129333,-0.31025495007634163,0.9350898489356041,inconclusive,+,-4.9894866570830345,-5.346599154174328
V,dConc_D_native,0.0,5,4,0.0,0.0,0.0,near_zero,0,-5.346599154174328,-5.346599154174328
V,dConc_D_native,0.5,5,4,0.012738548219203949,-0.09006361290812492,0.10313074663281441,near_zero,+,-5.333860605955124,-5.346599154174328
V,dConc_D_native,1.0,5,4,0.019781317561864853,-0.18961843848228455,0.22918107360601425,near_zero,+,-5.326817836612463,-5.346599154174328
V,dConc_D_native,2.0,5,4,0.17493964359164238,-0.25475725531578064,0.6046365424990654,inconclusive,+,-5.1716595105826855,-5.346599154174328
V,dConc_D_native,4.0,5,4,0.7702368646860123,-0.35230160132050514,1.926053959876299,inconclusive,+,-4.576362289488316,-5.346599154174328
V,muD_PD_F4S,0.0,5,4,0.0,0.0,0.0,near_zero,0,-5.346599154174328,-5.346599154174328
V,muD_PD_F4S,0.5,5,4,0.016370534896850586,0.00721827894449234,0.0276566743850708,near_zero,+,-5.330228619277477,-5.346599154174328
V,muD_PD_F4S,1.0,5,4,0.027616240084171295,-0.06035979837179184,0.11559227854013443,near_zero,+,-5.3189829140901566,-5.346599154174328
V,muD_PD_F4S,2.0,5,4,0.06574101373553276,0.01730557531118393,0.10547484457492828,near_zero,+,-5.280858140438795,-5.346599154174328
V,muD_PD_F4S,4.0,5,4,-0.12739338539540768,-0.18726453185081482,-0.08032258599996567,near_zero,-,-5.4739925395697355,-5.346599154174328
V,r0_D_dA,0.0,5,4,0.0,0.0,0.0,near_zero,0,-5.346599154174328,-5.346599154174328
V,r0_D_dA,0.5,5,4,-0.08224296197295189,-0.1324554607272148,-0.029244638979434967,near_zero,-,-5.42884211614728,-5.346599154174328
V,r0_D_dA,1.0,5,4,-0.14924968034029007,-0.29121094197034836,-0.007288418710231781,near_zero,-,-5.495848834514618,-5.346599154174328
V,r0_D_dA,2.0,5,4,-0.251165684312582,-0.46272478625178337,-0.12428857386112213,nonzero,-,-5.59776483848691,-5.346599154174328
V,r0_D_dA,4.0,5,4,0.6410976275801659,-0.20841432362794876,1.9133878201246262,inconclusive,+,-4.705501526594162,-5.346599154174328
V,r0_D_muD,0.0,5,4,0.0,0.0,0.0,near_zero,0,-5.346599154174328,-5.346599154174328
V,r0_D_muD,0.5,5,4,-0.06876610592007637,-0.15135669708251953,0.01382448524236679,near_zero,-,-5.415365260094404,-5.346599154174328
V,r0_D_muD,1.0,5,4,-0.03742770850658417,-0.059780318289995193,-0.012062322348356247,near_zero,-,-5.384026862680912,-5.346599154174328
V,r0_D_muD,2.0,5,4,-0.12781139463186264,-0.27510978654026985,-0.024580735713243484,near_zero,-,-5.4744105488061905,-5.346599154174328
V,r0_D_muD,4.0,5,4,-0.22796262055635452,-0.3933715559542179,-0.11978472024202347,nonzero,-,-5.574561774730682,-5.346599154174328
V,r1_D_dA,0.0,5,4,0.0,0.0,0.0,near_zero,0,-5.346599154174328,-5.346599154174328
V,r1_D_dA,0.5,5,4,0.07462251931428909,-0.11913673207163811,0.2171136811375618,near_zero,+,-5.271976634860039,-5.346599154174328
V,r1_D_dA,1.0,5,4,-0.003092467784881592,-0.27223489060997963,0.2216128706932068,near_zero,-,-5.349691621959209,-5.346599154174328
V,r1_D_dA,2.0,5,4,0.04871883615851402,-0.3362163379788399,0.4336540102958679,near_zero,+,-5.297880318015814,-5.346599154174328
V,r1_D_dA,4.0,5,4,-0.21771708130836487,-0.8605498448014259,0.4251156821846962,inconclusive,-,-5.564316235482693,-5.346599154174328
V,r1_D_muD,0.0,5,4,0.0,0.0,0.0,near_zero,0,-5.346599154174328,-5.346599154174328
V,r1_D_muD,0.5,5,4,0.012019101530313492,-0.11360353603959084,0.11039561778306961,near_zero,+,-5.334580052644014,-5.346599154174328
V,r1_D_muD,1.0,5,4,-0.008153226226568222,-0.14974502474069595,0.101020697504282,near_zero,-,-5.354752380400896,-5.346599154174328
V,r1_D_muD,2.0,5,4,0.08356887474656105,-0.1712842397391796,0.2414940819144249,near_zero,+,-5.263030279427767,-5.346599154174328
V,r1_D_muD,4.0,5,4,0.052409134805202484,-0.3456025943160057,0.33090122789144516,near_zero,+,-5.294190019369125,-5.346599154174328
V,r2_D_dA,0.0,5,4,0.0,0.0,0.0,near_zero,0,-5.346599154174328,-5.346599154174328
V,r2_D_dA,0.5,5,4,-0.04850274324417114,-0.13206611573696136,0.022861018776893616,near_zero,-,-5.395101897418499,-5.346599154174328
V,r2_D_dA,1.0,5,4,-0.018750376999378204,-0.07596446573734283,0.08254507929086685,near_zero,-,-5.365349531173706,-5.346599154174328
V,r2_D_dA,2.0,5,4,-0.1876145713031292,-0.3281691372394562,-0.024882428348064423,near_zero,-,-5.534213725477457,-5.346599154174328
